feature,vif
network_macs_dst_count,inf
device_type_control,inf
network_header-length_min,7359217.366173447
network_header-length_max,675350.8856020054
network_mss_max,55079.57745129614
network_mss_avg,6758.492823941111
network_fragmentation-score,1985.526551835758
network_ip-length_max,1344.3680898037762
network_packets_all_count,1254.9216629328746
network_header-length_avg,1092.3094244969216
network_ip-length_avg,637.530909608883
network_ttl_avg,514.4072999852699
network_macs_src_count,364.5755945345067
network_ttl_max,327.4812530315339
network_packet-size_max,312.3042130311247
network_tcp-flags_avg,209.15650369012954
network_packet-size_avg,205.32120532564758
network_window-size_max,203.66301287552832
network_ports_all_count,198.0643106596098
network_ip-length_min,161.9132209163864
network_ips_all_count,158.1453022852539
network_macs_all_count,133.37374403025876
network_window-size_avg,112.56456298955472
network_protocols_src_count,104.91318875508482
network_protocols_dst_count,101.90578902240526
network_ip-length_std_deviation,94.92937114355601
network_tcp-flags_max,89.29671263067624
network_protocols_all_count,73.20999592267428
network_payload-length_std_deviation,59.068290450389966
network_time-delta_avg,50.82870074679259
network_ports_dst_has_1883,43.275524787283
network_window-size_std_deviation,39.49786521395685
network_payload-length_avg,32.5602598342533
network_ips_dst_count,29.33938863085853
network_tcp-flags_min,26.57184073667204
network_protocols_dst_has_tcp,24.48661922203784
network_ttl_min,23.190028985355692
network_ports_src_has_23,22.217957373135903
network_tcp-flags-rst_count,21.879231810420173
network_payload-length_max,21.60931880611743
network_protocols_dst_has_json,19.95311153798851
network_packets_dst_count,18.077552118805134
network_ports_src_has_6668,17.339655854598945
network_ports_src_has_554,17.286492303347845
network_ip-flags_std_deviation,16.4821129020399
network_ports_src_has_9595,16.276987658804657
network_ports_src_has_443,16.254715691786792
network_ips_src_count,13.911614952552073
network_ip-flags_max,13.449272184791633
network_tcp-flags_std_deviation,12.291089092440483
network_tcp-flags-ack_count,11.640666341682737
network_ports_src_has_1883,11.388637293831726
network_ports_dst_has_8000,10.4311824035259
network_ports_dst_count,10.241500238112769
network_ttl_std_deviation,10.218594039514363
network_time-delta_max,10.086925288107516
network_packet-size_std_deviation,9.562777732366454
network_protocols_src_has_tcp,8.25558698488521
network_ports_dst_has_22,6.677935815722999
network_packets_src_count,6.582500578465131
network_protocols_dst_has_ntp,6.314698846030909
network_packet-size_min,5.758207677082525
network_protocols_src_has_telnet,5.622374610820418
network_ports_src_has_80,5.5407293124519965
network_ports_dst_has_554,5.138124671721842
network_fragmented-packets,4.766356198795463
network_ports_src_count,4.707246246379811
network_protocols_dst_has_tls,4.603722329491262
network_ports_dst_has_23,4.150920284567386
network_ip-flags_avg,4.023873592638847
network_ports_dst_has_6668,3.904928519701295
network_protocols_src_has_dns,3.862568831137958
device_type_iot,3.643043945334985
network_ports_dst_has_9595,3.3742110787818005
network_window-size_min,3.3507396396413403
network_mss_min,3.0133523183208233
network_ports_dst_has_443,2.8753708124850936
network_protocols_src_has_arp,2.6412285826403905
network_payload-length_min,2.5964877365653356
network_protocols_src_has_json,2.4323010274243466
network_protocols_src_has_igmp,2.1678140743326093
network_mss_std_deviation,2.0511554482282794
network_ports_src_has_22,1.9961026418637402
network_protocols_src_has_icmp,1.991657005343078
network_ports_dst_has_80,1.7312254663107691
network_interval-packets,1.6463569431097744
network_protocols_dst_has_ssdp,1.6213168436479233
network_protocols_dst_has_http,1.561182478147444
network_tcp-flags-psh_count,1.4176046346262035
network_time-delta_std_deviation,1.3761472919533673
network_protocols_dst_has_snmp,1.3640023668306867
network_protocols_dst_has_telnet,1.347237392303272
network_ip-flags_min,1.3330852241500668
network_protocols_dst_has_data-text-lines,1.3029665076590522
network_protocols_src_has_data,1.2956974944099655
network_tcp-flags-syn_count,1.270177832476232
network_protocols_dst_has_nbss,1.1963934048494056
network_protocols_dst_has_data,1.175387361224
device_type_infra,1.1599559939814978
network_protocols_dst_has_chargen,1.1258307357833233
network_protocols_src_has_lldp,1.1013152210931731
network_protocols_src_has_data-text-lines,1.0840662746585235
network_protocols_dst_has_discard,1.0820373479297205
network_protocols_dst_has_ftp,1.0725691960809807
network_protocols_dst_has_icmp,1.065544566805768
network_protocols_dst_has_rpc,1.0632094573536628
network_protocols_src_has_ssdp,1.0532573734215076
network_protocols_dst_has_dns,1.0453385599819907
network_protocols_dst_has_lbtrm,1.0362002220472408
network_protocols_dst_has_mqtt,1.0349729971855386
network_protocols_dst_has_rtsp,1.0307514019382331
network_protocols_src_has_mqtt,1.0299347346357592
network_protocols_src_has_mdns,1.0267326140690878
network_protocols_dst_has_udp,1.016213735272918
network_tcp-flags-fin_count,1.0145663766312316
network_protocols_dst_has_time,1.0135257528093533
network_protocols_dst_has_ncp,1.0124299181553655
network_protocols_src_has_tls,1.0117839065755097
network_protocols_dst_has_daytime,1.0066361891718665
network_protocols_dst_has_arp,1.0044377734353858
network_ports_src_has_8000,1.0038256448453147
network_protocols_dst_has_hcrt,1.0017917022586198
network_protocols_src_has_ntp,1.0010469022897435
network_time-delta_min,1.0004105139246864
network_protocols_src_has_dhcpv6,1.0000274370266429
network_protocols_dst_has_nbns,1.0000200520595834
network_tcp-flags-urg_count,1.0000127062772186
network_protocols_src_has_http,1.000006906320823
network_protocols_dst_has_rtcp,1.000004940830674
network_protocols_src_has_nbns,1.0000036904184932
network_protocols_dst_has_ipdc,1.0000028372176726
network_protocols_src_has_xml,1.0000017622459632
network_protocols_src_has_rtcp,1.000000983181256
network_protocols_dst_has_ssh,1.0000006415673743
network_header-length_std_deviation,1.0000003688223438
network_ports_dst_has_557,1.000000128092254
network_protocols_dst_has_c1222,1.0
