feature,binary_decision_tree_importance,binary_logistic_regression_importance,binary_random_forest_importance,binary_avg_importance,grouped_decision_tree_importance,grouped_logistic_regression_importance,grouped_random_forest_importance,grouped_avg_importance,all_decision_tree_importance,all_logistic_regression_importance,all_random_forest_importance,all_avg_importance,total_avg,total_avg_scaled
network_packets_dst_count,0.01704725399864523,0.0,0.3151070902970697,0.3321543442957149,0.3893476511791468,0.0,0.382698595149258,0.7720462463284048,0.35863547698416837,0.0,0.287651623854181,0.6462871008383494,0.5834958971541564,0.9999999999999999
network_packet-size_min,0.3193265728324159,0.011723166957082353,0.42001049214034714,0.7510602319298454,0.02451711303190765,0.05847137709808764,0.23197853174199942,0.3149670218719947,0.04035353668909956,0.05897797576805225,0.019490698991374695,0.11882221144852649,0.39494982175012217,0.6766375803870928
network_ports_src_count,0.0001379861030732597,0.11968348351198317,0.0880214812958282,0.20784295091088462,0.007514131743245965,0.2279537536715952,0.10384989057399002,0.33931777598883117,0.010549014705912647,0.31071292366335157,0.22453957492098933,0.5458015132902535,0.36432074672998976,0.6241077582319966
network_window-size_min,0.0033851633055488567,0.014626002970185504,0.04362404820678525,0.06163521448251961,0.06742889500679088,0.09579309558127212,0.23333489315032258,0.3965568837383856,0.19987192922682231,0.09230119918537114,0.23591785538421736,0.5280909837964108,0.32876102733910534,0.5631217266831989
network_tcp-flags-syn_count,0.0,0.26066293502723703,0.021033364836473046,0.2816962998637101,0.012205705262198505,0.09984980297828208,0.07090607274581773,0.18296158098629833,0.08700290442979063,0.19260880401747937,0.1888357112679242,0.4684474197151942,0.31103510018840086,0.5327212069107716
network_ports_dst_has_80,0.0,0.02315578447819996,3.595399479157511e-05,0.023191738472991535,0.0006260909476989182,0.08748509475982075,0.0017712598051981842,0.08988244551271785,0.3535019864371554,0.1302504374810586,0.33065159935248,0.814404023270694,0.30915940241880113,0.5295043265384776
network_packets_all_count,0.001120657721675017,0.0,0.38651302697663636,0.3876336846983114,0.006469590428630521,0.0,0.30429988329732605,0.3107694737259566,0.03177382538814819,0.0,0.1597177459863748,0.191491571374523,0.296631576599597,0.5080187132171397
network_time-delta_std_deviation,0.007321818007537088,0.009723553483641829,0.039890288374644714,0.056935659865823635,0.04258232355770967,0.15274644962463932,0.2205309194479076,0.41585969263025657,0.16382100813370473,0.08477192501120631,0.13549116022497193,0.384084093369883,0.2856264819553211,0.4891446315126209
network_time-delta_avg,0.03408804942582317,0.0,0.06722590928510781,0.10131395871093099,0.05386342111179421,0.0,0.22937299676423573,0.28323641787602993,0.10588853127379436,0.0,0.28324636036106565,0.38913489163486004,0.2578950894072736,0.44158442547621296
network_ports_all_count,0.0,0.0,0.23596436172257618,0.23596436172257618,0.00117711215801904,0.0,0.21504636302454339,0.21622347518256244,0.15402695862882632,0.0,0.16211147160702294,0.31613843023584925,0.2561087557136626,0.43852080729076776
device_type_iot,0.00024141586907103788,0.007508238043921055,0.0032042538049604895,0.010953907717952582,0.02810771578218633,0.20783400800369464,0.3430936888572717,0.5790354126431527,0.003864894974199823,0.08189920791278883,0.06502508978800574,0.1507891926749944,0.24692617101203326,0.42277238717087706
network_window-size_std_deviation,0.001766936222157936,0.0,0.05488540166371803,0.05665233788587597,0.017978010531890385,0.0,0.32536742057876783,0.34334543111065824,0.07052275790295964,0.0,0.17689569089388862,0.24741844879684827,0.2158054059311275,0.36939930117477765
network_ports_dst_count,0.00020804673152648398,0.07859695510993876,0.009664767534395952,0.08846976937586119,0.001467050666256987,0.1622742754913501,0.0489623808027583,0.2127037069603654,0.043503096083090755,0.17932527128810996,0.08323340687035066,0.30606177424155134,0.20241175019259264,0.34642876244680865
network_tcp-flags-psh_count,3.571237193825105e-05,0.05632556276710325,0.002407204217417026,0.05876847935645853,0.0004811305292044435,0.07789270720361054,0.021138472300462292,0.09951231003327726,0.06458555906523937,0.16806243600938922,0.20052116429023023,0.4331691593648588,0.19714998291819819,0.337404666911316
network_packets_src_count,0.000512470579325767,0.04859512199521387,0.06519680553597401,0.11430439811051366,0.003072674397369099,0.10245624157392683,0.07882245413265043,0.18435137010394637,0.006162964117416586,0.1418605889034858,0.12067597811291747,0.26869953113381984,0.1891184331160933,0.3236303076641936
network_protocols_dst_has_icmp,2.42210253414367e-05,0.07568420350080787,0.004966388136570158,0.08067481266271948,0.0,0.20314959732186855,0.045581420985355704,0.24873101830722424,0.1302836360414677,0.031007265203951487,0.06885063253296964,0.2301415337783888,0.18651578824944415,0.3191666902716314
network_interval-packets,0.010762960389518704,0.018271337140487388,0.019917566271406978,0.04895186380141307,0.010909869571245005,0.11862096577362237,0.10013808318549983,0.2296689185303672,0.04296828158197225,0.05682340588575582,0.17701228455984164,0.2768039720275697,0.18514158478645001,0.3168098883287536
network_fragmented-packets,0.0,0.1876565240443718,0.001024336854973424,0.18868086089934522,0.0001562412944515179,0.2184908509131605,0.0050440649786189316,0.22369115718623095,0.0024153727974615797,0.08236701850405652,0.05501474860286183,0.13979713990437992,0.18405638599665206,0.31494873844441845
network_time-delta_max,0.02848832643943779,0.03580833431178569,0.030686175448449964,0.09498283619967345,0.01862233920485417,0.14989679625835156,0.08819179881673127,0.256710934279937,0.017894206891178405,0.10385681352332267,0.07103465357394144,0.1927856739884425,0.18149314815601766,0.3105527053346613
network_window-size_avg,0.0017096870383685398,0.0,0.02178088463615895,0.023490571674527488,0.006440722852322967,0.0,0.11941658622033603,0.125857309072659,0.23415129913987368,0.0,0.16067917278536517,0.39483047192523885,0.18139278422414176,0.3103805780507403
network_tcp-flags-fin_count,0.0,0.004387109016261798,4.3333256714530655e-05,0.004430442272976328,0.00015480024416173748,0.08521342700488521,0.03699773595882912,0.12236596320787607,0.07990859588478923,0.14678138174432592,0.18968428310507143,0.4163742607341866,0.18105688873834633,0.3098045067812052
network_ports_dst_has_23,0.0,0.08472889567404782,0.0007949913874702283,0.08552388706151805,0.0003087396079147934,0.16012803091271788,0.12479724577693851,0.28523401629757117,0.004032368129807034,0.04687823014812897,0.1165199754358568,0.1674305737137928,0.17939615902429398,0.3069563033513102
network_ports_dst_has_1883,0.0,0.0,0.006232223783522566,0.006232223783522566,0.0035408421162566547,0.0,0.004080635181136623,0.007621477297393278,0.2534938318022309,0.0,0.2556413154349341,0.509135147237165,0.17432961610602696,0.29826702369585884
network_ttl_std_deviation,0.0011559169527895843,0.009343037832953276,0.029925793130740244,0.04042474791648311,0.005514303484413857,0.09586847487018756,0.11779145729907758,0.219174235653679,0.007623624251797313,0.10827919631547994,0.10165400302090204,0.2175568235881793,0.15905193571944712,0.27206532373848386
network_ports_dst_has_554,0.0,0.05730176247388114,0.0,0.05730176247388114,0.0,0.08022019034941184,0.0029014195671438073,0.08312160991655565,0.043308013827847956,0.05260522524743853,0.2270672016330042,0.3229804407082907,0.1544679376995758,0.26420362368437256
network_ip-length_min,0.15465262812511651,0.0,0.02028300948619519,0.1749356376113117,0.0048410424915247205,0.0,0.2316067951912475,0.23644783768277222,0.012403868126222968,0.0,0.028465673833573926,0.04086954195979689,0.1507510057512936,0.2578289690766992
network_time-delta_min,0.12476918845067032,0.038822786171000864,0.04449199495762779,0.20808396957929898,0.01089317552848652,0.07528771172660463,0.0394197486340828,0.12560063588917394,0.0034211179313469032,0.057353139697956614,0.04505952949445348,0.10583378712375699,0.14650613086407663,0.25054887580749097
network_macs_dst_count,3.697006490025103e-06,0.0,0.0042429135756260426,0.004246610582116068,0.18644914126164205,0.0,0.16587584782771359,0.3523249890893556,0.003103082627146755,0.0,0.06185687906055975,0.0649599616877065,0.1405105204530594,0.2402662163280596
network_ip-length_avg,0.0002487595573049466,0.0,0.011698273117291517,0.011947032674596464,0.05134246965551586,0.0,0.1812385501736046,0.23258101982912047,0.0766650827437727,0.0,0.09914126962783731,0.17580635237161002,0.14011146829177565,0.2395818293836591
network_mss_min,0.0,0.019831376388762118,0.010627717269870801,0.03045909365863292,2.566328866750858e-19,0.17207873405500826,0.04509121759945867,0.21716995165446693,0.023084426656954114,0.12287094684359988,0.009530124835057267,0.15548549833561126,0.1343715145495704,0.22973762909167073
network_payload-length_avg,0.0009999034906966612,0.0,0.01222921006448944,0.013229113555186103,0.0015408866808211356,0.0,0.08255395412147498,0.08409484080229612,0.13258013072052915,0.0,0.1650737654907964,0.29765389621132554,0.1316592835229359,0.22508606800538275
network_tcp-flags-ack_count,0.0002529593667409648,0.0,0.025812690875639456,0.02606565024238042,0.012699086826521974,0.0,0.030646822648644878,0.04334590947516685,0.10049262647483873,0.0,0.17599584107814992,0.2764884675529886,0.11530000909017862,0.19702940041178735
device_type_infra,0.0003805061648300501,0.010919866166241658,0.0015453891460570702,0.012845761477128778,0.0033382561436411163,0.09982845574643516,0.06052447328413437,0.16369118517421063,0.03876178949448093,0.06990680955906188,0.06050447134130322,0.16917307039484603,0.11523667234872847,0.19692077591816248
network_ports_dst_has_443,0.00041487506918767744,0.011232221692161266,0.0004022246493108943,0.012049321410659838,0.0010092511958698553,0.09075406017142432,0.006159622966219131,0.0979229343335133,0.03452074839456763,0.06611684208403208,0.12556382825498075,0.22620141873358046,0.11205789149258454,0.19146906727421847
network_macs_src_count,0.00011962822971979457,0.0,0.006615123947147329,0.0067347521768671235,0.00019616613971979637,0.0,0.19637490015971493,0.19657106629943472,0.08041438078329939,0.0,0.052330913491015846,0.13274529427431525,0.11201703758353902,0.19139900154173747
network_tcp-flags_std_deviation,4.502357966979798e-05,0.0,0.01040244502163716,0.010447468601306959,0.07587181817362736,0.0,0.1158318678814642,0.19170368605509155,0.07134691939290826,0.0,0.05227041897586822,0.12361733836877647,0.10858949767505832,0.18552066333845707
network_ttl_min,0.0010711719461295158,0.0,0.006678533594322164,0.00774970554045168,0.0761550315978305,0.0,0.19521673977709575,0.27137177137492624,0.019789737833322493,0.0,0.02262306991167301,0.04241280774499551,0.10717809488679114,0.18310006338863327
network_payload-length_std_deviation,0.0041036208296531766,0.0,0.006993811426472818,0.011097432256125995,0.004202931358312164,0.0,0.04610959017287279,0.050312521531184956,0.11516192324552275,0.0,0.1379900167741903,0.25315194001971303,0.10485396460234132,0.17911410722028095
device_type_control,0.0008938441472548132,0.0,0.012257828931643885,0.0131516730788987,1.3617455690280137e-05,0.0,0.22689255146478612,0.2269061689204764,0.006164636432376857,0.0,0.05701092179239062,0.06317555822476748,0.10107780007471419,0.17263786688542745
network_ttl_avg,0.0012990485317388558,0.0,0.013368449710126018,0.014667498241864873,0.004796581334557739,0.0,0.059133258526013144,0.06392983986057088,0.049002445052075606,0.0,0.17034674589632276,0.21934919094839836,0.09931550968361137,0.1696154837161865
