feature,importance,importance_norm
network_packet-size_min,0.5671782713471484,1.0
network_time-delta_min,0.24379781375942164,0.42984335979648663
network_ports_src_count,0.046032742357975394,0.08116097651032984
network_ip-flags_avg,0.027570060672562215,0.04860916234868882
network_window-size_min,0.02482592496655362,0.04377093802903922
network_protocols_dst_has_icmp,0.013227662779655943,0.02332187858367337
network_time-delta_std_deviation,0.01219718073044907,0.021505021166411425
network_protocols_dst_has_data,0.009736562087916218,0.017166669775254554
network_mss_min,0.009510835515704655,0.016768688075999003
network_protocols_src_has_json,0.0073614265409335305,0.012979034834054635
network_protocols_src_has_tls,0.007174501010543531,0.01264946379822137
network_interval-packets,0.0057150428271967365,0.010076272515910213
network_packets_src_count,0.004124950666114993,0.007272758627225806
device_type_infra,0.0037163938576572617,0.006552426362932013
network_packet-size_std_deviation,0.0034145420793464465,0.006020227240434136
device_type_iot,0.0032989746654018604,0.005816468704920966
network_protocols_dst_has_nbns,0.0024974852940798926,0.004403351503836571
network_payload-length_min,0.0016548767486575806,0.0029177365076538575
network_protocols_dst_has_mqtt,0.0009466841590210214,0.0016691121766221398
network_protocols_dst_has_ssdp,0.0009454783529214895,0.001666986202901976
network_protocols_src_has_lldp,0.0006992321694556499,0.0012328260879861462
network_tcp-flags-syn_count,0.0006404396903422099,0.0011291682398570254
network_protocols_dst_has_tls,0.0004982093959348882,0.0008784000042024759
network_protocols_src_has_mqtt,0.0004929911057560313,0.0008691995632785624
network_protocols_dst_has_arp,0.0004832382802887252,0.0008520042193100048
network_tcp-flags-psh_count,0.00045869578868840485,0.000808733006641671
network_protocols_src_has_data,0.00036769118730551877,0.0006482815119701031
network_protocols_src_has_arp,0.00023229929584841122,0.000409570160889026
network_ports_dst_has_443,0.00021530645836640816,0.0003796098497479767
network_ports_dst_has_23,0.00019952889304322575,0.00035179220206957057
network_protocols_dst_has_dns,0.00017443196027520932,0.00030754344636811046
network_tcp-flags-fin_count,0.0001574593310413218,0.00027761876467398536
network_ip-flags_min,0.00013772443004288025,0.00024282388271990824
network_protocols_src_has_telnet,0.00011648053659603209,0.00020536847492300838
network_ports_dst_has_6668,0.00010381852113039424,0.0001830438970869017
network_protocols_src_has_tcp,5.716079671087284e-05,0.00010078100589979562
network_ports_src_has_80,3.788173991243006e-05,6.67898292761714e-05
network_header-length_std_deviation,0.0,0.0
network_fragmented-packets,0.0,0.0
network_mss_std_deviation,0.0,0.0
network_protocols_src_has_http,0.0,0.0
network_protocols_src_has_igmp,0.0,0.0
network_protocols_src_has_nbns,0.0,0.0
network_protocols_src_has_xml,0.0,0.0
network_protocols_src_has_dhcpv6,0.0,0.0
network_protocols_src_has_ntp,0.0,0.0
network_protocols_src_has_mdns,0.0,0.0
network_protocols_src_has_dns,0.0,0.0
network_tcp-flags-urg_count,0.0,0.0
network_protocols_dst_has_rtsp,0.0,0.0
network_protocols_dst_has_rpc,0.0,0.0
network_protocols_dst_has_daytime,0.0,0.0
network_protocols_dst_has_udp,0.0,0.0
network_protocols_dst_has_lbtrm,0.0,0.0
network_protocols_dst_has_ipdc,0.0,0.0
network_protocols_dst_has_snmp,0.0,0.0
network_protocols_dst_has_ssh,0.0,0.0
network_protocols_src_has_icmp,0.0,0.0
network_protocols_src_has_rtcp,0.0,0.0
network_protocols_src_has_data-text-lines,0.0,0.0
network_protocols_src_has_ssdp,0.0,0.0
network_protocols_dst_has_ftp,0.0,0.0
network_protocols_dst_has_nbss,0.0,0.0
network_protocols_dst_has_c1222,0.0,0.0
network_protocols_dst_has_ntp,0.0,0.0
network_protocols_dst_has_telnet,0.0,0.0
network_protocols_dst_has_time,0.0,0.0
network_protocols_dst_has_ncp,0.0,0.0
network_protocols_dst_has_discard,0.0,0.0
network_protocols_dst_has_data-text-lines,0.0,0.0
network_protocols_dst_has_chargen,0.0,0.0
network_protocols_dst_has_http,0.0,0.0
network_protocols_dst_has_hcrt,0.0,0.0
network_ports_src_has_8000,0.0,0.0
network_ports_src_has_22,0.0,0.0
network_protocols_dst_has_rtcp,0.0,0.0
network_ports_dst_has_557,0.0,0.0
network_ports_dst_has_22,0.0,0.0
network_ports_dst_has_9595,0.0,0.0
network_ports_dst_has_80,0.0,0.0
network_ports_dst_has_554,0.0,0.0
