feature,importance,importance_norm
network_interval-packets,0.12294242695183291,1.0
network_time-delta_std_deviation,0.10977110770397104,0.8928659570627949
network_packet-size_min,0.10838982219655179,0.881630734677276
network_window-size_min,0.10505202116901441,0.8544814330871497
network_protocols_src_has_data-text-lines,0.08694632397412358,0.7072117098207921
device_type_iot,0.0732532225591502,0.5958335488842251
network_ports_src_count,0.05763023045078075,0.4687578721165107
network_protocols_src_has_telnet,0.054272232352244223,0.44144428980165906
network_protocols_dst_has_icmp,0.0510240375793283,0.4150238355008137
network_ip-flags_avg,0.04440283819649544,0.36116773759388887
network_mss_min,0.0328515204588754,0.2672106064064129
network_packet-size_std_deviation,0.030753486583224084,0.25014543266884476
network_packets_src_count,0.016720351137586437,0.1360014728205848
network_ports_src_has_22,0.01325064991870538,0.10777930977315744
device_type_infra,0.010830545682016437,0.08809445161075022
network_ports_src_has_80,0.008041169808597147,0.06540597910717642
network_tcp-flags-psh_count,0.007789729137924952,0.06336078871272695
network_payload-length_min,0.0074004316408271134,0.060194286255032994
network_protocols_dst_has_mqtt,0.007124832974069886,0.05795259741261895
network_tcp-flags-syn_count,0.007055575441635026,0.05738926436192202
network_time-delta_min,0.00700255537180789,0.05695800502255736
network_fragmented-packets,0.00658599267950458,0.05356973050552254
network_ports_dst_has_23,0.0065786463767458,0.0535099764975619
network_protocols_src_has_icmp,0.005924346693784099,0.04818797579215818
network_protocols_src_has_ntp,0.0027025500980962613,0.02198224132304694
network_protocols_dst_has_arp,0.0015773307345457134,0.012829832415490619
network_ports_dst_has_443,0.0014882964810018992,0.01210563771923091
network_tcp-flags-fin_count,0.001460693624651377,0.011881119161765498
network_protocols_dst_has_tls,0.0014027459172973825,0.01140977896789819
network_protocols_dst_has_ipdc,0.0012638932218798366,0.010280366617254205
network_protocols_src_has_lldp,0.0009926845941205084,0.008074385862818766
network_protocols_src_has_dns,0.0009828389243100462,0.007994302281791692
network_protocols_src_has_arp,0.0007309335451316431,0.005945332000140297
network_protocols_dst_has_data,0.0007202405485575428,0.0058583563576447275
network_ports_dst_has_22,0.0006030409212268388,0.004905067649779694
network_protocols_src_has_json,0.00045373515915444145,0.0036906312198652824
network_protocols_dst_has_ntp,0.00043872860307450753,0.0035685695650566193
network_protocols_src_has_tcp,0.00042111599984286796,0.003425310613136466
network_protocols_src_has_http,0.0003382641298126512,0.0027514027354053963
network_ports_dst_has_6668,0.0002994413130508155,0.002435622270317897
network_ports_dst_has_554,0.00029392914952222355,0.0023907869464573103
network_ports_dst_has_80,0.0002870799753851678,0.00233507652730527
network_protocols_src_has_mqtt,0.00027549399704158365,0.002240837470611494
network_ports_dst_has_9595,0.00024383800523857449,0.001983351161060996
network_protocols_src_has_tls,0.00018857859411370478,0.0015338772691349844
network_protocols_dst_has_telnet,0.00017762495536966072,0.0014447815922753147
network_protocols_src_has_nbns,0.00015253389790446746,0.0012406937270258058
network_ip-flags_min,0.00014379726345502205,0.0011696309160332402
network_protocols_dst_has_nbns,0.0001359405697820537,0.0011057254452550647
network_protocols_src_has_data,0.00013006340995632622,0.0010579212821891274
network_protocols_dst_has_dns,0.00012002766849784776,0.0009762916795588629
network_protocols_dst_has_http,0.00011758324649359072,0.0009564090233850529
network_protocols_src_has_igmp,8.655361142921166e-05,0.0007040174297447547
network_ports_src_has_8000,7.358126767294881e-05,0.0005985018312821895
network_tcp-flags-urg_count,6.748770314774127e-05,0.0005489374565070364
network_protocols_dst_has_rtsp,3.525583043867964e-05,0.00028676699584344773
network_mss_std_deviation,0.0,0.0
network_header-length_std_deviation,0.0,0.0
network_protocols_src_has_xml,0.0,0.0
network_protocols_src_has_dhcpv6,0.0,0.0
network_protocols_src_has_mdns,0.0,0.0
network_protocols_dst_has_ssh,0.0,0.0
network_protocols_dst_has_snmp,0.0,0.0
network_protocols_src_has_ssdp,0.0,0.0
network_protocols_src_has_rtcp,0.0,0.0
network_protocols_dst_has_rpc,0.0,0.0
network_protocols_dst_has_daytime,0.0,0.0
network_protocols_dst_has_udp,0.0,0.0
network_protocols_dst_has_lbtrm,0.0,0.0
network_protocols_dst_has_time,0.0,0.0
network_protocols_dst_has_data-text-lines,0.0,0.0
network_protocols_dst_has_nbss,0.0,0.0
network_protocols_dst_has_ftp,0.0,0.0
network_protocols_dst_has_c1222,0.0,0.0
network_protocols_dst_has_ncp,0.0,0.0
network_protocols_dst_has_discard,0.0,0.0
network_protocols_dst_has_ssdp,0.0,0.0
network_protocols_dst_has_chargen,0.0,0.0
network_protocols_dst_has_hcrt,0.0,0.0
network_protocols_dst_has_rtcp,0.0,0.0
network_ports_dst_has_557,0.0,0.0
