feature,importance,importance_norm
network_ports_src_count,0.17984538684674237,1.0
network_tcp-flags-syn_count,0.08443489778264986,0.4694860361061258
device_type_iot,0.08433833894415019,0.4689491369384983
network_ip-flags_avg,0.08171081477310667,0.4543392310792916
network_packet-size_std_deviation,0.06542175374732113,0.3637666492000217
network_window-size_min,0.053183919683311806,0.29572023289445387
network_ports_dst_has_80,0.046678298483216564,0.2595468213093177
network_time-delta_std_deviation,0.04323867707320001,0.24042138545397568
network_interval-packets,0.03812512756709885,0.21198835419441525
network_tcp-flags-psh_count,0.037943839522671635,0.21098033253978307
network_mss_min,0.03681837662458857,0.2047223855453342
network_protocols_dst_has_mqtt,0.03194526412551903,0.17762626379036126
network_protocols_dst_has_data,0.031845116871309205,0.17706941184121916
network_packets_src_count,0.020276508947356983,0.11274411483590557
network_tcp-flags-fin_count,0.019573123395241872,0.10883305787499219
network_ports_dst_has_554,0.01909794529162762,0.10619091001707032
network_time-delta_min,0.018756302273962203,0.10429126152646681
network_protocols_src_has_lldp,0.01449537643424842,0.08059910064082348
network_protocols_dst_has_icmp,0.014349664487011006,0.0797888938860537
network_ports_dst_has_23,0.011415466386235144,0.06347377926331235
network_fragmented-packets,0.011346798213089848,0.06309196144552305
network_ports_src_has_80,0.00923005216333506,0.051322151349929096
network_ports_dst_has_443,0.007090706518305551,0.039426680009023475
device_type_infra,0.006730137695234277,0.037421797763261246
network_ports_dst_has_22,0.005894608246470386,0.0327759769089521
network_protocols_src_has_mqtt,0.005078558104033103,0.028238467458500137
network_ports_src_has_22,0.0032663969135586796,0.01816225020184801
network_protocols_dst_has_ipdc,0.003072466872099459,0.017083934850759906
network_packet-size_min,0.0027711758696404585,0.015408656948214928
network_ports_dst_has_9595,0.002384179511746768,0.013256828843647116
network_ip-flags_min,0.002281404924362636,0.012685368050651003
network_ports_dst_has_6668,0.0020993680424865584,0.011673182611437027
network_protocols_src_has_json,0.0012242404853223796,0.0068071831409589195
network_protocols_src_has_arp,0.0010477809052999408,0.0058260093498690695
network_payload-length_min,0.0008708663144143143,0.004842305547466917
network_protocols_src_has_data,0.00043414307590718815,0.00241397949382571
network_protocols_dst_has_arp,0.0003037239498278503,0.0016888058968489012
network_protocols_dst_has_dns,0.0002531950654553336,0.0014078485408752638
network_protocols_src_has_icmp,0.00018156692288267772,0.0010095723113398643
network_protocols_src_has_telnet,0.00015026713153366145,0.0008355350902701417
network_ports_src_has_8000,0.00013414264027442621,0.0007458775708755746
network_protocols_src_has_ntp,0.00011513195873527865,0.0006401718762649713
network_protocols_src_has_tcp,8.950240487954357e-05,0.000497663056299655
network_protocols_dst_has_tls,8.90409074688336e-05,0.000495096977631742
network_protocols_dst_has_ntp,6.516244579373137e-05,0.0003623248109736638
network_protocols_dst_has_http,6.1153398786042e-05,0.0003400331799344661
network_protocols_dst_has_telnet,5.7517129493180486e-05,0.0003198143166285075
network_protocols_src_has_data-text-lines,4.44356337293267e-05,0.0002470768614554073
network_protocols_src_has_dns,4.27332108707659e-05,0.0002376108257209932
network_mss_std_deviation,2.623906787737448e-05,0.00014589792008251205
network_protocols_dst_has_lbtrm,1.8869647957342676e-05,0.00010492150111930699
network_protocols_src_has_tls,1.829581054787215e-05,0.00010173077479859502
network_protocols_src_has_ssdp,1.2408741266243623e-05,6.899671703460427e-05
network_tcp-flags-urg_count,1.0812223065133607e-05,6.011954632090389e-05
network_protocols_src_has_igmp,4.47869911638006e-06,2.4903052532543652e-05
network_protocols_src_has_http,4.239894563200981e-06,2.357522001281058e-05
network_protocols_dst_has_chargen,1.1022624223657373e-16,6.128944654582911e-16
network_header-length_std_deviation,0.0,0.0
network_protocols_src_has_mdns,0.0,0.0
network_protocols_src_has_xml,0.0,0.0
network_protocols_src_has_dhcpv6,0.0,0.0
network_protocols_dst_has_ssh,0.0,0.0
network_protocols_dst_has_snmp,0.0,0.0
network_protocols_src_has_rtcp,0.0,0.0
network_protocols_src_has_nbns,0.0,0.0
network_protocols_dst_has_rtsp,0.0,0.0
network_protocols_dst_has_rpc,0.0,0.0
network_protocols_dst_has_daytime,0.0,0.0
network_protocols_dst_has_udp,0.0,0.0
network_protocols_dst_has_time,0.0,0.0
network_protocols_dst_has_nbss,0.0,0.0
network_protocols_dst_has_ftp,0.0,0.0
network_protocols_dst_has_nbns,0.0,0.0
network_protocols_dst_has_c1222,0.0,0.0
network_protocols_dst_has_ncp,0.0,0.0
network_protocols_dst_has_discard,0.0,0.0
network_protocols_dst_has_ssdp,0.0,0.0
network_protocols_dst_has_data-text-lines,0.0,0.0
network_protocols_dst_has_hcrt,0.0,0.0
network_protocols_dst_has_rtcp,0.0,0.0
network_ports_dst_has_557,0.0,0.0
