feature,importance
network_ports_dst_has_1883,0.08414292065531134
network_packets_dst_count,0.08062176689811143
network_ports_dst_has_80,0.07924741092328023
network_ports_all_count,0.06487636464621396
network_window-size_avg,0.05989015189132999
network_window-size_min,0.04765783686252637
network_time-delta_std_deviation,0.044436540788082214
network_protocols_dst_has_icmp,0.035156022540764754
network_payload-length_avg,0.03502264210402957
network_tcp-flags-psh_count,0.03426679008385386
network_payload-length_max,0.03400248072846356
network_payload-length_std_deviation,0.030847677925074334
network_fragmented-packets,0.029081463017944363
network_ip-length_avg,0.02671050033356504
network_time-delta_avg,0.02575544999585989
network_tcp-flags-syn_count,0.023175783096829723
network_macs_src_count,0.021595724599290596
network_tcp-flags-fin_count,0.021337840410214592
network_tcp-flags_std_deviation,0.018854686486144027
network_tcp-flags_min,0.015198988124900793
network_window-size_std_deviation,0.014851326820947666
network_ip-flags_avg,0.01268419886440176
network_ttl_avg,0.01263497600597939
network_ports_dst_count,0.011775594632429246
network_ports_dst_has_554,0.011035430935379337
network_packet-size_min,0.010850575220423264
network_interval-packets,0.010254836830606196
device_type_infra,0.008996742703758878
network_packets_all_count,0.0078499388692573
network_ports_dst_has_443,0.006404246328114286
network_mss_min,0.006258776050991326
network_ttl_min,0.005426008186026742
network_tcp-flags-rst_count,0.005129388412576353
network_ports_src_has_6668,0.0045107996571814345
network_window-size_max,0.004228670734181968
network_ports_src_has_443,0.00396051797761677
network_time-delta_max,0.003715299864498698
network_ip-length_std_deviation,0.0036187606810909297
network_ports_dst_has_22,0.0034564831780620905
network_ports_src_count,0.00279512932327782
network_protocols_dst_has_data,0.0026219603537269813
network_tcp-flags_avg,0.0025944301112432776
network_ports_src_has_22,0.0025844652245697705
network_packet-size_avg,0.0023656549813129103
network_protocols_dst_has_http,0.002144053124328383
network_macs_dst_count,0.002005631899647844
network_ttl_std_deviation,0.00174698471285161
network_ip-length_min,0.001659087259485346
network_packet-size_max,0.0015638884583354907
network_protocols_src_has_icmp,0.0015186728494819262
network_ips_src_count,0.0014061016478871804
network_ips_dst_count,0.0013310034900679713
network_packets_src_count,0.0011537793097278807
network_time-delta_min,0.001124754378157511
device_type_iot,0.0010660472627290547
network_ip-flags_std_deviation,0.0008379392807582422
network_ports_dst_has_6668,0.0008376630630205318
network_protocols_src_has_ssh,0.0008088863661482074
network_ports_src_has_23,0.0007916612958219116
network_ips_all_count,0.0007600680260732225
network_protocols_src_has_dns,0.0007207186180246661
network_packet-size_std_deviation,0.0006602392586613439
network_fragmentation-score,0.0006014477848215945
network_ip-length_max,0.0005753671222990486
network_ports_src_has_554,0.0005407404030319139
network_ports_src_has_80,0.00048186874412773533
network_ports_src_has_9595,0.00042869888250212984
network_macs_all_count,0.0003055186211952296
network_protocols_dst_has_dns,0.000274786789398928
network_ttl_max,0.00023466324529763878
network_tcp-flags-ack_count,0.00023394885619857462
network_protocols_dst_has_arp,0.00023369197195383156
network_mss_std_deviation,0.0002120700470567211
network_protocols_src_has_data,0.0001831086708592198
network_ports_src_has_8000,0.0001483273775488314
network_protocols_dst_has_tcp,0.00014604963006202546
network_protocols_dst_count,0.0001298364797704851
network_protocols_src_has_arp,0.0001073946706511138
network_ports_dst_has_9595,0.00010330157482465822
network_protocols_all_count,9.822362891947893e-05
network_payload-length_min,8.386175915997825e-05
network_protocols_src_has_mqtt,5.745191786971131e-05
network_protocols_src_count,5.382283764840408e-05
network_protocols_dst_has_lbtrm,4.7697381012153225e-05
network_ports_dst_has_23,4.2823818270585e-05
network_ip-flags_min,2.8725958934855503e-05
network_protocols_src_has_http,2.613746593193449e-05
network_protocols_src_has_tcp,2.1455491687110246e-18
network_ports_src_has_1883,4.305449836878306e-20
network_header-length_min,0.0
network_header-length_max,0.0
network_header-length_std_deviation,0.0
network_ip-flags_max,0.0
network_header-length_avg,0.0
network_mss_max,0.0
network_mss_avg,0.0
network_protocols_src_has_telnet,0.0
network_protocols_src_has_lbtrm,0.0
network_tcp-flags_max,0.0
network_tcp-flags-urg_count,0.0
network_protocols_src_has_xlm,0.0
network_protocols_src_has_udp,0.0
network_protocols_dst_has_telnet,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_xlm,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_udp,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
