feature,importance,importance_norm
network_ports_all_count,0.12672061185819888,1.0
network_packets_dst_count,0.07468256876693943,0.5893482336599642
device_type_control,0.06643291749968766,0.5242471333237129
network_tcp-flags-syn_count,0.06130129912550226,0.48375160304701476
network_window-size_min,0.04167650908937091,0.32888500519558067
network_tcp-flags_min,0.036182080802295756,0.28552640546577945
network_tcp-flags_std_deviation,0.0339127378270666,0.2676181666879509
network_ips_dst_count,0.03150245439446254,0.24859771376194087
network_ip-flags_avg,0.03067877874028903,0.24209777944111224
network_ports_dst_has_80,0.030443758396592906,0.24024314553231207
network_tcp-flags-ack_count,0.02825433002766407,0.22296554296376686
network_ttl_min,0.027060178726704142,0.2135420460010455
network_tcp-flags-psh_count,0.02629287278581928,0.20748694628495923
network_time-delta_std_deviation,0.024274566530024855,0.1915597326596579
network_ports_dst_has_1883,0.02319360886554507,0.18302948924756499
device_type_iot,0.021665568809951765,0.17097115056701007
network_time-delta_avg,0.019819616401462903,0.15640404596247665
network_interval-packets,0.01826175677730827,0.1441103898530989
network_ports_dst_count,0.017172339725878834,0.13551339023753123
network_window-size_std_deviation,0.01595643155574432,0.12591820163873307
network_tcp-flags-fin_count,0.014674933622544729,0.11580541955531327
network_packet-size_max,0.01201518084606521,0.09481631022670778
network_ports_src_has_554,0.01192254656664803,0.09408529829377267
network_time-delta_max,0.011730287288108281,0.09256810802992761
network_packet-size_avg,0.011496901702702511,0.09072637461352863
network_ports_dst_has_443,0.010343425251244836,0.08162385818353836
network_payload-length_avg,0.0101952187358189,0.08045430483895871
network_protocols_dst_has_data,0.01016868052894969,0.08024488186916667
network_ttl_avg,0.010020360849787443,0.07907443550698987
network_ip-length_max,0.009682823283502081,0.07641079964431688
network_window-size_avg,0.009674859131148059,0.0763479515232635
network_ttl_std_deviation,0.009537574565898434,0.07526458739459872
network_payload-length_std_deviation,0.009369688948676742,0.07393973885764914
network_tcp-flags-rst_count,0.009198353236142822,0.07258766432122213
network_ports_dst_has_23,0.008891475128682713,0.07016597377727568
network_ip-length_min,0.008635804325769738,0.06814837932942791
network_ports_src_has_1883,0.008535919415619384,0.06736014994286113
network_time-delta_min,0.006531282583065978,0.05154080687658391
network_ports_dst_has_6668,0.005491147341994162,0.04333270855840554
network_ports_dst_has_22,0.005300299739032391,0.04182665835739065
network_fragmented-packets,0.0046759674298835945,0.036899817332921574
network_tcp-flags_avg,0.0042706305171898535,0.033701151332576534
network_packets_all_count,0.003934669273699124,0.031049954825834034
network_ports_src_count,0.0030259722058779753,0.023879084558588275
network_protocols_src_has_dns,0.0027816568755395198,0.02195110041492074
