feature,importance,importance_norm
network_packets_all_count,0.5864400163104869,0.9999999999999999
network_packet-size_min,0.17386837300338306,0.2964810861599348
network_ttl_std_deviation,0.07473766610965019,0.12744298484242728
network_ips_all_count,0.04179312486208648,0.07126581355246292
network_time-delta_avg,0.02081431656803711,0.035492660782236084
network_ip-length_min,0.020372723545149105,0.034739654488998746
network_mss_max,0.011847149595044595,0.020201809674550236
network_payload-length_std_deviation,0.010647787571011431,0.018156652470615216
network_time-delta_max,0.006322091936664391,0.010780457951077472
network_time-delta_min,0.006296023284886468,0.010736005575637728
device_type_control,0.006141023592673683,0.010471699443890536
network_protocols_dst_has_data,0.0060282093758802,0.010279328163527985
network_interval-packets,0.004077106833212803,0.006952299842809847
network_time-delta_std_deviation,0.0032327079807192797,0.00551242734262483
network_packets_dst_count,0.0027542443785189253,0.004696549181358573
network_window-size_std_deviation,0.0026393401777470506,0.004500614051462799
network_ttl_avg,0.0022860555091331982,0.003898191538012066
network_window-size_min,0.002094864403405406,0.003572171654630562
network_window-size_max,0.002083274524494421,0.0035524085440162808
network_ttl_min,0.0019250809615070233,0.0032826562102948333
network_packets_src_count,0.001551234754163943,0.0026451720739033803
network_packet-size_avg,0.001264905888078575,0.0021569228785521324
network_ports_dst_has_1883,0.001077595142576124,0.001837519801864268
network_ip-length_max,0.0010282504374894482,0.001753377001723988
network_window-size_avg,0.0007547627411650643,0.0012870246234449661
network_packet-size_std_deviation,0.0007221024992433372,0.0012313322405697236
network_ips_src_count,0.0006868687347953825,0.001171251476181196
network_ttl_max,0.0006014583474943816,0.001025609321953131
network_payload-length_avg,0.0005363528430250631,0.0009145911399420848
network_ip-length_std_deviation,0.000512603835085834,0.0008740942310022021
network_packet-size_max,0.0004840362788278564,0.0008253807130575933
network_macs_all_count,0.0004666201505546184,0.0007956826573505334
network_protocols_all_count,0.00039405266359781406,0.0006719402711925193
network_ip-length_avg,0.00034195995463638445,0.0005831115632043361
network_payload-length_max,0.0002742993506726646,0.0004677364147119158
network_ip-flags_avg,0.00027116579007175376,0.0004623930539013333
network_tcp-flags_avg,0.00023139711507100009,0.0003945793408280794
network_payload-length_min,0.00021386908031148432,0.00036469046170657746
network_ip-flags_max,0.00019552553477390956,0.00033341097015178754
device_type_infra,0.00019252817739223864,0.00032829986364761615
network_protocols_src_has_data,0.00017811657453312428,0.00030372513740403007
network_ports_all_count,0.00017594677031823638,0.000300025178065411
network_tcp-flags-psh_count,0.00017580837325143143,0.0002997891828008387
network_protocols_src_count,0.00013778104093226375,0.00023494481464463444
network_protocols_src_has_telnet,0.00011611445995570974,0.00019799886898276342
network_protocols_dst_count,0.00011136898362342313,0.00018990686263888843
network_tcp-flags-fin_count,0.00010002062876397022,0.00017055559986038697
network_protocols_dst_has_arp,9.16948177731516e-05,0.000156358391690318
network_tcp-flags_std_deviation,8.755910653453738e-05,0.00014930615936716666
network_protocols_dst_has_http,8.164881991967778e-05,0.00013922791359525735
network_ports_dst_has_443,7.440691998611525e-05,0.00012687899515151943
network_ips_dst_count,5.907975970520572e-05,0.00010074305651394415
network_macs_src_count,5.732476844168116e-05,9.775043797715693e-05
network_tcp-flags_max,5.3430116894212803e-05,9.110926166048765e-05
network_ports_src_count,4.7299950804798706e-05,8.065607647714826e-05
network_ports_src_has_443,4.701260593957126e-05,8.016609479575612e-05
network_tcp-flags-ack_count,3.4840621133564584e-05,5.941037474345618e-05
network_macs_dst_count,3.289462787814333e-05,5.609205880099335e-05
network_header-length_avg,3.1694313227891966e-05,5.404527717479568e-05
network_protocols_src_has_arp,3.16798577976107e-05,5.402062771384618e-05
network_ip-flags_min,2.4789226326574167e-05,4.2270693740397255e-05
network_ports_dst_count,2.392161391738352e-05,4.079123738499859e-05
