feature,importance,importance_norm
network_packets_dst_count,0.11667186939603941,0.9999999999999999
device_type_iot,0.09341609476785998,0.8006736778234146
network_ttl_min,0.082781826050875,0.7095268677822791
network_macs_dst_count,0.07652946165854234,0.6559375627964373
network_tcp-flags_std_deviation,0.07261551998445165,0.6223909873078342
network_ip-length_min,0.07036048673853408,0.6030629928427509
network_ips_dst_count,0.06342196697908083,0.543592618403985
network_window-size_std_deviation,0.057551638577659506,0.4932777616025168
network_window-size_min,0.04471402503506687,0.38324598094238427
network_packets_src_count,0.039188844968232314,0.33588940651329474
network_ip-length_avg,0.03356653577289511,0.28770033382215243
network_packet-size_min,0.030119025766924844,0.2581515657787795
network_time-delta_avg,0.029392725520472392,0.25192641270450206
network_time-delta_std_deviation,0.027727474817264744,0.23765347174771495
network_ip-length_std_deviation,0.023116104885659152,0.19812920634015194
network_ips_all_count,0.016018716885016583,0.13729716484306506
network_time-delta_max,0.01062534072698184,0.09107028782503189
network_ip-length_max,0.009171154289758156,0.07860638847421676
network_window-size_max,0.008841663918064515,0.07578231122749676
network_tcp-flags_avg,0.007955378805464514,0.06818592045062895
network_macs_all_count,0.0067203143814162924,0.0576001260304176
network_ip-flags_avg,0.0056217242377803525,0.04818405899281142
network_tcp-flags-rst_count,0.005458890947114947,0.04678840731166219
device_type_control,0.005436156362503583,0.04659354813327539
network_ips_src_count,0.005363373812807758,0.045969725526570034
network_ttl_avg,0.004957083897868488,0.042487395835253176
network_window-size_avg,0.004716890666074664,0.04042868851328086
network_interval-packets,0.003837192017783864,0.03288875062727093
network_payload-length_max,0.0035190875131232914,0.03016226217459366
network_payload-length_std_deviation,0.0030647653174033606,0.026268245578547303
network_protocols_dst_has_telnet,0.0028850638460962337,0.02472801593932608
network_time-delta_min,0.0028823692080176327,0.024704920071465648
network_packets_all_count,0.0027493532963314,0.02356483452749691
network_protocols_all_count,0.0021484735281775114,0.018414666185595927
network_protocols_src_has_icmp,0.0020683126899600215,0.01772760392600886
network_packet-size_avg,0.0019521756795161957,0.016732188226877463
network_ports_dst_has_23,0.0018859828995489065,0.01616484684193231
network_packet-size_max,0.0014464421813442992,0.012397522974748878
network_protocols_dst_count,0.0013131419014366,0.011255000097574302
network_tcp-flags-ack_count,0.0012964789836653835,0.011112181457078756
network_payload-length_avg,0.0012912117692680583,0.011067035918359
network_ip-flags_std_deviation,0.0011956616954563646,0.010248071807247077
network_protocols_src_has_dns,0.0010917660745484324,0.009357577625181121
network_ports_all_count,0.0010666680369843496,0.009142461181997304
network_ports_src_has_443,0.0010404577099529706,0.008917811254237865
network_ports_src_has_1883,0.0008895434017307296,0.007624317724019654
network_ports_src_has_23,0.0008683615792707965,0.007442767341998843
network_ports_dst_count,0.0007663633799369232,0.006568536048184194
network_packet-size_std_deviation,0.0007576166411458184,0.006493567344619377
network_tcp-flags-psh_count,0.0007229219361012391,0.006196197419682209
network_ip-flags_min,0.0006699737518241142,0.005742376078246478
network_protocols_src_has_telnet,0.0006313554729347224,0.005411377020039028
network_ports_dst_has_22,0.0005387890770804247,0.004617986150984864
network_ttl_std_deviation,0.0004841400353544139,0.004149586681524867
network_mss_max,0.00046329182046388494,0.003970895665443173
network_tcp-flags-fin_count,0.0003901004685483162,0.0033435691959655756
network_ttl_max,0.00038900684702530803,0.0033341957152056515
network_ports_src_count,0.0003775385150755039,0.0032359001105395843
network_fragmentation-score,0.0003669086394579636,0.0031447909539573968
network_tcp-flags-syn_count,0.0003080145781414269,0.0026400072248425194
network_ports_dst_has_443,0.000293952799870521,0.0025194830715594895
network_protocols_dst_has_arp,0.00022336697726804407,0.0019144887145832133
network_protocols_src_has_arp,0.00020259112876054168,0.0017364179541244148
network_protocols_src_has_mqtt,0.00019485709752448574,0.0016701292139500118
network_ports_dst_has_1883,0.00018647223496174591,0.0015982621683104355
network_macs_src_count,0.0001791921421958054,0.0015358641558021382
network_ports_src_has_6668,0.00016675075825499635,0.0014292284774229985
network_tcp-flags_max,0.00014965308147132212,0.0012826834972818417
network_protocols_src_has_data,0.0001397690766175837,0.0011979672335851708
network_protocols_src_count,0.00011294063906922518,0.0009680194519370502
network_mss_min,0.00010533778519619327,0.0009028550390208208
device_type_infra,9.72175243666889e-05,0.0008332559071003373
network_ports_dst_has_6668,9.128073852523239e-05,0.0007823714405002156
network_protocols_src_has_tcp,8.041742335125371e-05,0.0006892614626605408
network_protocols_dst_has_data,7.643327937171522e-05,0.0006551131799582689
network_protocols_dst_has_http,7.24170320843363e-05,0.0006206897383166005
network_ports_src_has_80,6.650529329014511e-05,0.0005700199511194489
network_tcp-flags_min,5.476412710770593e-05,0.0004693858716003823
network_ports_dst_has_80,3.0823173021356316e-05,0.00026418684453171753
network_protocols_dst_has_tcp,3.035785130170446e-05,0.00026019855050625425
network_fragmented-packets,2.6079493272836282e-05,0.00022352854555120024
network_header-length_max,0.0,0.0
network_ip-flags_max,0.0,0.0
network_payload-length_min,0.0,0.0
network_mss_std_deviation,0.0,0.0
network_mss_avg,0.0,0.0
network_header-length_avg,0.0,0.0
network_header-length_std_deviation,0.0,0.0
network_header-length_min,0.0,0.0
network_tcp-flags-urg_count,0.0,0.0
network_protocols_src_has_http,0.0,0.0
network_protocols_dst_has_ssh,0.0,0.0
network_protocols_dst_has_udp,0.0,0.0
network_protocols_src_has_ssh,0.0,0.0
network_protocols_dst_has_icmp,0.0,0.0
network_ports_src_has_9595,0.0,0.0
network_protocols_dst_has_mqtt,0.0,0.0
network_protocols_dst_has_dns,0.0,0.0
network_protocols_dst_has_lbtrm,0.0,0.0
network_ports_src_has_8000,0.0,0.0
network_ports_src_has_554,0.0,0.0
network_ports_src_has_22,0.0,0.0
network_ports_src_has_557,0.0,0.0
network_ports_dst_has_554,0.0,0.0
network_ports_dst_has_9595,0.0,0.0
network_ports_dst_has_8000,0.0,0.0
network_ports_dst_has_557,0.0,0.0
