feature,importance,importance_norm
network_ports_src_count,16.992852424162173,0.9999999999999999
network_fragmented-packets,12.087022546413468,0.7112142781279526
network_tcp-flags-psh_count,7.214304731907565,0.4243777251681044
network_time-delta_min,7.141393669041823,0.42008575531859055
network_protocols_src_has_nbns,6.182936388758401,0.36366537702019225
network_mss_std_deviation,5.84203018157971,0.34359765196977965
network_ports_dst_has_23,4.868570664201554,0.2862941546115972
network_protocols_dst_has_icmp,4.849393399440798,0.28516526910486867
network_tcp-flags-syn_count,4.7314650525448,0.27822331970258596
network_ports_src_has_22,3.929399067985401,0.23100904401182487
network_ports_dst_has_6668,3.649390663283615,0.21452611833011462
network_protocols_src_has_telnet,3.535230061064673,0.20780596032572132
network_protocols_dst_has_dns,3.3691717619215917,0.19803080158889086
network_time-delta_std_deviation,3.2404778437261292,0.19045512795308311
network_protocols_dst_has_data-text-lines,3.154681012050368,0.18540462669493726
network_protocols_src_has_dns,3.014377555151755,0.17714554798831827
network_tcp-flags-urg_count,2.9131611735975196,0.17118736220919173
network_packets_src_count,2.599751983785535,0.1527382717644326
network_tcp-flags-fin_count,2.5930774085537203,0.15234536738850804
network_mss_min,2.4346187938686086,0.14301757034519022
network_ports_src_has_80,2.3800417457116194,0.13980484739261723
network_protocols_dst_has_nbns,2.3764427105351524,0.13959298721862443
network_packet-size_std_deviation,2.042218335601574,0.11991859373420949
network_ports_dst_has_9595,1.9785038476165973,0.11616798784999298
network_payload-length_min,1.807318816438964,0.10609103980363963
network_protocols_dst_has_http,1.6871737473337327,0.09901860122025291
network_protocols_dst_has_telnet,1.6304999907659092,0.09568245379780087
network_ports_dst_has_554,1.608428168370603,0.09438317776860737
network_ports_dst_has_22,1.4420281392735708,0.08458790281619337
network_protocols_src_has_ssdp,1.3821301400219328,0.08106195768894131
network_window-size_min,1.3820395892464203,0.08105662734285837
network_interval-packets,1.2961546262913963,0.07600093816427184
network_protocols_src_has_mdns,1.289462041598706,0.0756069736465794
network_protocols_src_has_icmp,1.2486061393065393,0.07320195726195262
device_type_iot,1.1485975754779143,0.06731487066940046
device_type_infra,1.0407225497979102,0.06096471831204607
network_protocols_dst_has_data,1.0225088881344835,0.05989255609638039
network_packet-size_min,0.9966773854967046,0.05837196338889051
network_protocols_dst_has_ipdc,0.8928300907358463,0.05225890673399158
network_protocols_dst_has_ssdp,0.8906818006398688,0.0521324458656742
network_protocols_dst_has_tls,0.8416728247318033,0.049247492078341615
network_protocols_dst_has_mqtt,0.7629948409900291,0.04461604767515081
network_protocols_src_has_dhcpv6,0.7086248217818155,0.041415511652396104
network_protocols_dst_has_ntp,0.6722681558449742,0.03927534652660301
network_protocols_src_has_arp,0.5640543286932479,0.03290525034118673
network_header-length_std_deviation,0.5183708297670395,0.030216053499102145
network_ports_src_has_8000,0.4874262779247676,0.028394476933165786
network_protocols_src_has_http,0.40714638612042636,0.02366873489068681
network_protocols_dst_has_rtcp,0.37629427287146194,0.021852599798784886
network_protocols_src_has_data-text-lines,0.29733246369533817,0.01720444777731403
network_protocols_src_has_tcp,0.2805806947355104,0.0162183410813522
network_protocols_src_has_tls,0.27536344709799154,0.01591122349620725
network_protocols_dst_has_rtsp,0.25174998888673716,0.01452119780323278
network_protocols_dst_has_udp,0.25155126695734986,0.01450949987296206
network_protocols_dst_has_lbtrm,0.2340390281455837,0.01347862749196291
network_ports_dst_has_80,0.23245516785672474,0.013385392249759097
network_ports_dst_has_443,0.13077732385118393,0.0074000421028419935
network_protocols_src_has_xml,0.13043188810091816,0.007379707742501987
network_protocols_src_has_json,0.12957366912881454,0.007329187974886856
network_protocols_dst_has_discard,0.09811849448527278,0.005477553176613928
network_ip-flags_min,0.09052028805567063,0.00503027848846016
network_protocols_dst_has_hcrt,0.0779666270625219,0.004291296880376538
network_protocols_dst_has_rpc,0.07530642262619959,0.004134701752209741
network_protocols_src_has_mqtt,0.07319634528836731,0.004010490309416828
network_protocols_dst_has_daytime,0.06302840390868515,0.0034119460540192738
network_protocols_dst_has_ncp,0.06218289655611569,0.0033621745663720204
network_protocols_dst_has_c1222,0.061137180781319064,0.0033006176448270334
network_protocols_src_has_ntp,0.0582898646039771,0.0031330080297033644
network_protocols_dst_has_time,0.054682657951952575,0.0029206668350623883
network_protocols_dst_has_arp,0.054444740822627805,0.002906661647020827
network_protocols_dst_has_snmp,0.05283297641890417,0.002811783806081386
network_protocols_dst_has_nbss,0.04843353436038848,0.002552807020835475
network_protocols_dst_has_ssh,0.04511151235283822,0.0023572534554995575
network_protocols_dst_has_ftp,0.03426183446714971,0.0017185782184088675
network_protocols_dst_has_chargen,0.033369334223386095,0.0016660404554637463
network_protocols_src_has_igmp,0.029760012958203443,0.0014535747823751744
network_ports_dst_has_557,0.027949909699770917,0.0013470215611719018
network_protocols_src_has_lldp,0.013943100224373119,0.0005224991691860571
network_protocols_src_has_data,0.012511818046669343,0.00043824556333528513
network_ip-flags_avg,0.010043763588695359,0.0002929615021210347
network_protocols_src_has_rtcp,0.0050669964520835865,0.0
