feature,importance,importance_norm
network_ports_src_count,18.262323668317407,1.0
network_tcp-flags-syn_count,12.511117520452869,0.6835554706183998
network_tcp-flags-psh_count,10.245798613327477,0.5589124380032838
network_packets_src_count,9.66719149353281,0.5270761495773766
network_tcp-flags-fin_count,9.388407352302167,0.511736807863197
network_mss_min,8.060182971825819,0.4386548615398037
device_type_iot,7.173690814208369,0.3898780334440321
network_time-delta_std_deviation,7.169950587997673,0.38967223763484105
network_packet-size_std_deviation,7.162595987805621,0.38926757069425016
network_ports_dst_has_80,7.039087078037075,0.3824718277107277
network_window-size_min,5.985006202686062,0.32447388467847366
network_ip-flags_avg,5.646942423010926,0.30587284153902977
network_protocols_dst_has_data,5.17968321078117,0.28016316991333706
device_type_infra,5.14988748920334,0.27852374109616923
network_ports_dst_has_443,4.662821855024942,0.2517242747889559
network_time-delta_min,4.618476032829831,0.24928426612402876
network_interval-packets,4.594201457439314,0.24794862341050117
network_ip-flags_min,4.586768765451827,0.24753965968053787
network_ports_src_has_80,4.49602055358307,0.24254648529959633
network_protocols_dst_has_mqtt,4.494357099457931,0.24245495824522825
network_packet-size_min,4.475877820627066,0.24143818601648187
network_fragmented-packets,4.364047487587092,0.23528502506213803
network_ports_dst_has_554,3.7895275635442593,0.2036736235039463
network_protocols_src_has_tcp,3.3697819602071752,0.18057825941978484
network_ports_src_has_22,3.3440657338209507,0.17916329376787873
network_protocols_src_has_json,3.3166077634821276,0.17765249337605674
network_protocols_src_has_mqtt,3.2713255999323483,0.17516096506608456
network_protocols_src_has_lldp,3.245105471046602,0.1737182735449928
network_ports_dst_has_23,3.229227628821004,0.1728446383141395
network_payload-length_min,3.074027741051828,0.16430518516596296
network_protocols_src_has_icmp,2.9749915636043345,0.1588559879439574
network_protocols_src_has_data,2.891297131802329,0.15425092869159865
network_ports_src_has_8000,2.7470636629776455,0.14631487302086776
network_protocols_src_has_data-text-lines,2.502407245896377,0.13285331682326612
network_ports_dst_has_22,2.355725132603744,0.12478253112784804
network_mss_std_deviation,2.0684997444557887,0.10897873268242532
network_protocols_dst_has_icmp,1.9764983297270011,0.1039166042109737
network_protocols_src_has_tls,1.9755914606959721,0.1038667062006509
network_protocols_dst_has_http,1.9531401902284737,0.10263138589836188
network_ports_dst_has_6668,1.880985289742017,0.09866125807821913
network_protocols_src_has_dns,1.7559777560954155,0.09178305737789447
network_protocols_dst_has_tls,1.6827505172131052,0.08775392704414166
network_ports_dst_has_9595,1.6266376365527895,0.08466646788231129
network_protocols_dst_has_nbns,1.624575112001475,0.0845529830594414
network_protocols_dst_has_dns,1.4119354909001762,0.07285306427766254
network_protocols_src_has_dhcpv6,1.3185342744789688,0.0677139155123114
network_protocols_src_has_nbns,1.2191658928583806,0.062246439656135764
network_protocols_src_has_igmp,1.1328622225625404,0.05749781412811284
network_protocols_src_has_ntp,1.1167072011692725,0.05660892786486516
network_protocols_src_has_telnet,1.0777863576957931,0.05446741394944531
network_protocols_dst_has_ntp,1.0474820017419506,0.052799998904413954
network_ports_dst_has_557,1.0237393894837326,0.05149362602033097
network_protocols_src_has_arp,1.010939336585568,0.05078933780473235
network_protocols_src_has_ssdp,0.9963861224087674,0.049988586641799816
network_protocols_src_has_mdns,0.9610847853936841,0.048046226258417084
network_protocols_src_has_http,0.8984993899577907,0.04460263451510489
network_protocols_dst_has_ssdp,0.8954430338424089,0.04443446680424763
network_protocols_dst_has_arp,0.8865211498703421,0.0439435643218551
network_protocols_dst_has_rtsp,0.8457802573787623,0.04170190714253953
network_protocols_dst_has_data-text-lines,0.7033442038855753,0.03386474937844862
network_tcp-flags-urg_count,0.7018203199970582,0.03378090179803924
network_protocols_dst_has_telnet,0.6000566222399912,0.028181630164066687
network_protocols_dst_has_lbtrm,0.5047560442744256,0.02293797417804268
network_protocols_dst_has_udp,0.40624134142776863,0.017517469682467642
network_protocols_dst_has_ipdc,0.38244958122766687,0.016208392566100224
network_header-length_std_deviation,0.34795253582492164,0.014310286148617565
network_protocols_dst_has_hcrt,0.33964350889080014,0.013853104463561219
network_protocols_src_has_xml,0.33920198161862497,0.013828810622189443
network_protocols_dst_has_rpc,0.3320358874401708,0.013434515714042711
network_protocols_dst_has_rtcp,0.3164937324066062,0.0125793507610357
network_protocols_dst_has_discard,0.31249175442927274,0.012359152770375421
network_protocols_dst_has_chargen,0.2846186753167427,0.010825512143451326
network_protocols_dst_has_ssh,0.2389216300314795,0.00831115609053987
network_protocols_dst_has_ncp,0.23758646361170385,0.008237692177320746
network_protocols_dst_has_time,0.21767564695665576,0.007142153460046717
network_protocols_dst_has_c1222,0.20776310982849927,0.006596742972950576
network_protocols_dst_has_daytime,0.16628694761479834,0.004314629570157171
network_protocols_dst_has_ftp,0.10677639016762357,0.0010402224526866429
network_protocols_src_has_rtcp,0.09546034922445588,0.00041758797243014387
network_protocols_dst_has_nbss,0.09066819260506308,0.00015391254380553356
network_protocols_dst_has_snmp,0.08787091634973425,0.0
