feature,importance,importance_norm
network_ports_src_count,11.244244572117026,1.0
network_tcp-flags-psh_count,8.873704081496076,0.7891774342494017
network_tcp-flags-syn_count,8.26297621336139,0.7348627255806539
network_tcp-flags-fin_count,6.350394881762772,0.5647684769780085
network_mss_min,5.283030081454572,0.46984304259578213
network_ports_dst_has_80,5.208563809004441,0.4632204302919917
network_time-delta_std_deviation,4.965646009430122,0.4416166846587194
device_type_iot,4.583739300723753,0.4076520455709674
network_window-size_min,4.118424352385771,0.36626954580821336
network_packet-size_std_deviation,4.112599690778056,0.3657515330977678
network_ip-flags_std_deviation,4.023760272374382,0.3578506538671635
network_protocols_dst_has_mqtt,3.8653348978482427,0.343761190274474
device_type_infra,3.7316140457850344,0.3318688082468896
network_interval-packets,3.616442321779502,0.3216260815553046
network_packet-size_min,3.2774964377594324,0.291482137082541
network_ports_dst_has_443,2.972755928556378,0.26438022665640737
network_time-delta_min,2.9683316935372677,0.2639867600263697
network_protocols_dst_has_data,2.955732214435894,0.2628662330740641
network_ports_dst_has_554,2.6927152498081246,0.23947498051451133
network_ip-flags_min,2.626900786430324,0.23362181154831824
network_fragmented-packets,2.6199255166358726,0.23300147020393405
network_ports_src_has_80,2.604571856932871,0.23163600188771877
network_payload-length_min,2.456854390857809,0.21849883957079755
network_ports_dst_has_23,2.3408859430628524,0.20818525673727128
network_protocols_src_has_mqtt,2.2537286177648985,0.20043397342615563
network_protocols_src_has_icmp,2.1034448047301453,0.18706857461515675
network_ports_src_has_22,2.0622772632947126,0.18340736454707285
network_ports_src_has_8000,1.873160867277471,0.16658841376702632
network_protocols_src_has_data,1.8372996747374546,0.16339912058596698
network_protocols_dst_has_http,1.4169122076848202,0.12601221883757452
network_protocols_dst_has_icmp,1.361741973719549,0.12110568789088204
network_mss_std_deviation,1.3242850027967688,0.11777447513732238
network_ports_dst_has_6668,1.3040002525602472,0.11597046330652115
network_protocols_src_has_dns,1.0791179043257473,0.09597068948515185
network_ports_dst_has_9595,1.0281237803670453,0.0914355583225698
network_ports_src_has_557,0.9158411591096302,0.08144977221330564
network_protocols_dst_has_dns,0.9056294658754127,0.08054160153374394
network_protocols_src_has_arp,0.7063554543567984,0.06281928944416479
network_protocols_dst_has_arp,0.6830177637232084,0.060743766230141
network_ports_dst_has_557,0.67934549365572,0.060417175142235026
network_protocols_src_has_telnet,0.630587030283076,0.05608087108375226
network_protocols_src_has_http,0.5732278172431657,0.050979664624569834
network_header-length_std_deviation,0.4662424964935191,0.04146499068952007
network_protocols_dst_has_telnet,0.44259207706292775,0.03936165513159041
network_tcp-flags-urg_count,0.42738511247152544,0.03800923305522328
network_protocols_dst_has_lbtrm,0.4185332649144767,0.03722199941758086
network_protocols_dst_has_udp,0.2282630958734789,0.02030043854075493
network_protocols_src_has_ssh,0.20807713038499548,0.018505212070980367
network_protocols_dst_has_ssh,0.19963325138686394,0.017754260867102228
network_macs_dst_count,0.0,0.0
device_type_control,0.0,0.0
network_header-length_min,0.0,0.0
network_header-length_avg,0.0,0.0
network_mss_max,0.0,0.0
network_mss_avg,0.0,0.0
network_fragmentation-score,0.0,0.0
network_ip-length_max,0.0,0.0
network_packets_all_count,0.0,0.0
network_header-length_max,0.0,0.0
network_ip-length_avg,0.0,0.0
network_ttl_avg,0.0,0.0
network_macs_src_count,0.0,0.0
network_ttl_max,0.0,0.0
network_packet-size_avg,0.0,0.0
network_tcp-flags_avg,0.0,0.0
network_window-size_max,0.0,0.0
network_ports_all_count,0.0,0.0
network_packet-size_max,0.0,0.0
network_ips_all_count,0.0,0.0
network_ip-length_min,0.0,0.0
network_window-size_avg,0.0,0.0
network_protocols_all_count,0.0,0.0
network_tcp-flags_max,0.0,0.0
network_ip-length_std_deviation,0.0,0.0
network_macs_all_count,0.0,0.0
network_payload-length_std_deviation,0.0,0.0
network_time-delta_avg,0.0,0.0
network_ports_dst_has_1883,0.0,0.0
network_protocols_dst_count,0.0,0.0
network_window-size_std_deviation,0.0,0.0
network_protocols_src_count,0.0,0.0
network_payload-length_avg,0.0,0.0
network_ips_dst_count,0.0,0.0
network_tcp-flags_min,0.0,0.0
network_ports_src_has_554,0.0,0.0
network_protocols_dst_has_tcp,0.0,0.0
network_packets_dst_count,0.0,0.0
network_ports_src_has_23,0.0,0.0
network_payload-length_max,0.0,0.0
network_ports_src_has_6668,0.0,0.0
network_ip-flags_avg,0.0,0.0
network_ports_src_has_443,0.0,0.0
network_tcp-flags-rst_count,0.0,0.0
network_ports_src_has_9595,0.0,0.0
network_ttl_min,0.0,0.0
network_tcp-flags_std_deviation,0.0,0.0
network_ip-flags_max,0.0,0.0
network_ports_dst_has_8000,0.0,0.0
network_tcp-flags-ack_count,0.0,0.0
network_ports_src_has_1883,0.0,0.0
network_ips_src_count,0.0,0.0
network_ttl_std_deviation,0.0,0.0
network_time-delta_max,0.0,0.0
network_ports_dst_count,0.0,0.0
network_protocols_src_has_tcp,0.0,0.0
network_ports_dst_has_22,0.0,0.0
network_packets_src_count,0.0,0.0
