feature,importance,importance_norm
network_tcp-flags-syn_count,15.668819896262988,1.0
network_fragmented-packets,12.286034166952726,0.784107178989462
network_tcp-flags-urg_count,10.62927161828457,0.6783709104231678
network_ports_src_count,7.722825462218679,0.49287856477695374
network_ports_dst_has_6668,6.59651692737785,0.42099641013495337
network_mss_std_deviation,6.076926464384274,0.38783561905856234
network_ports_dst_has_9595,6.038490675135564,0.38538260795095
network_ports_dst_has_23,5.380821073473068,0.3434094660030136
network_ports_src_has_22,5.251307657387018,0.3351437882465836
network_ports_dst_count,5.063060780760917,0.32312968138516013
network_protocols_dst_has_icmp,4.866672676696427,0.31059599311988567
network_ports_dst_has_554,3.7151958946955994,0.23710757538170907
network_tcp-flags-psh_count,3.644497652094033,0.23259554173337874
network_packets_src_count,3.131969554052123,0.19988547796117673
network_protocols_dst_has_http,2.556749616694744,0.16317435733016042
network_time-delta_min,2.4990423751544597,0.15949142256402354
network_protocols_src_has_telnet,2.3164618853246277,0.14783895026307015
network_time-delta_max,2.3020275439177094,0.14691773593407265
network_ports_dst_has_22,2.15901260552035,0.1377903773107555
network_ports_src_has_8000,2.036909615331119,0.1299976404615463
network_protocols_src_has_http,1.9563441838279478,0.12485587279578954
network_packet-size_std_deviation,1.7658776478194764,0.11270010501816018
network_ports_dst_has_80,1.5103219339105716,0.09639027979833907
network_protocols_dst_has_data,1.429363296122954,0.09122341730814437
network_mss_min,1.3568592950485756,0.08659613832003943
network_payload-length_min,1.3327233372182088,0.08505575697733708
network_header-length_std_deviation,1.2648692094917187,0.08072523762899271
network_protocols_dst_has_telnet,1.2510183788712772,0.07984126355103775
network_protocols_dst_has_udp,1.2408802184915877,0.0791942358586646
network_interval-packets,1.1758808042186932,0.07504590722235187
network_ports_dst_has_557,1.1296441567032594,0.07209503741712414
network_protocols_dst_has_lbtrm,1.1171584947205488,0.07129818978817869
network_protocols_src_has_dns,1.0792355998096432,0.06887791211813218
network_window-size_min,0.941414343961692,0.06008201959014279
network_ports_src_has_80,0.8235081933489837,0.05255712930527655
network_packet-size_min,0.7538498912189077,0.04811146571406445
network_ports_dst_has_443,0.7140370782488282,0.04557057155396406
device_type_infra,0.7024226941247573,0.04482932976288055
network_time-delta_std_deviation,0.6233810112935214,0.03978480928497989
network_ttl_std_deviation,0.6012931384022427,0.038375138803251614
network_protocols_dst_has_dns,0.5143992983647128,0.03282948567730981
network_protocols_src_has_arp,0.48812339436587915,0.031152530796674516
device_type_iot,0.4827226459564113,0.030807849547848883
network_protocols_dst_has_mqtt,0.45357924441584013,0.028947888061692427
network_tcp-flags-fin_count,0.303264007518349,0.019354616973463166
network_protocols_src_has_tcp,0.2867313445332951,0.018299485630164175
network_protocols_src_has_mqtt,0.25449876921635806,0.016242369936044512
network_protocols_src_has_icmp,0.19775721583203584,0.012621066368833617
network_ip-flags_min,0.19752908385138787,0.012606506754123744
network_protocols_src_has_data,0.16577639472793787,0.010580017884274458
network_protocols_dst_has_arp,0.16187265236278614,0.010330877081648806
network_ip-flags_std_deviation,0.12158744845269633,0.007759834451967561
network_ports_src_has_557,0.09263209131825918,0.005911874150800082
network_protocols_dst_has_ssh,0.026966912271472052,0.0017210557304257264
network_protocols_src_has_ssh,0.012638893599312367,0.0008066270263484707
network_macs_dst_count,0.0,0.0
device_type_control,0.0,0.0
network_header-length_min,0.0,0.0
network_header-length_avg,0.0,0.0
network_mss_max,0.0,0.0
network_mss_avg,0.0,0.0
network_fragmentation-score,0.0,0.0
network_ip-length_max,0.0,0.0
network_packets_all_count,0.0,0.0
network_header-length_max,0.0,0.0
network_ip-length_avg,0.0,0.0
network_ttl_avg,0.0,0.0
network_macs_src_count,0.0,0.0
network_ttl_max,0.0,0.0
network_packet-size_avg,0.0,0.0
network_tcp-flags_avg,0.0,0.0
network_window-size_max,0.0,0.0
network_ports_all_count,0.0,0.0
network_packet-size_max,0.0,0.0
network_ips_all_count,0.0,0.0
network_ip-length_min,0.0,0.0
network_window-size_avg,0.0,0.0
network_protocols_all_count,0.0,0.0
network_tcp-flags_max,0.0,0.0
network_ip-length_std_deviation,0.0,0.0
network_macs_all_count,0.0,0.0
network_payload-length_std_deviation,0.0,0.0
network_time-delta_avg,0.0,0.0
network_ports_dst_has_1883,0.0,0.0
network_protocols_dst_count,0.0,0.0
network_window-size_std_deviation,0.0,0.0
network_protocols_src_count,0.0,0.0
network_payload-length_avg,0.0,0.0
network_ips_dst_count,0.0,0.0
network_tcp-flags_min,0.0,0.0
network_ports_src_has_554,0.0,0.0
network_protocols_dst_has_tcp,0.0,0.0
network_packets_dst_count,0.0,0.0
network_ports_src_has_23,0.0,0.0
network_payload-length_max,0.0,0.0
network_ports_src_has_6668,0.0,0.0
network_ip-flags_avg,0.0,0.0
network_ports_src_has_443,0.0,0.0
network_tcp-flags-rst_count,0.0,0.0
network_ports_src_has_9595,0.0,0.0
network_ttl_min,0.0,0.0
network_tcp-flags_std_deviation,0.0,0.0
network_ip-flags_max,0.0,0.0
network_ports_dst_has_8000,0.0,0.0
network_tcp-flags-ack_count,0.0,0.0
network_ports_src_has_1883,0.0,0.0
network_ips_src_count,0.0,0.0
