feature,importance,importance_norm
network_ports_src_count,11.999540881024245,0.9999999999999999
device_type_iot,10.78202236561022,0.8985362417207665
network_fragmented-packets,7.7930244717747925,0.6494435536361624
network_tcp-flags-urg_count,7.682930071782292,0.6402686692731613
network_tcp-flags-psh_count,7.667560030338017,0.6389877834795573
network_tcp-flags-fin_count,7.244436183572635,0.6037261138073035
network_time-delta_std_deviation,7.040993261292881,0.586771888283436
network_tcp-flags-syn_count,6.951935477430697,0.579350122338789
network_ports_dst_has_23,6.683751410167087,0.5570005949758122
network_ports_src_has_80,6.525119797913659,0.543780788166013
device_type_infra,6.3579750827970996,0.529851528974032
network_time-delta_min,6.223542450043735,0.518648380946431
network_protocols_dst_has_icmp,5.42070586659486,0.45174277252282374
network_ports_dst_has_554,5.083581659917958,0.4236480137300085
network_protocols_dst_has_mqtt,4.765298927223846,0.3971234378441564
network_protocols_src_has_telnet,4.751283265865312,0.3959554213760682
network_protocols_src_has_dns,4.562919405576926,0.3802578324302895
network_mss_std_deviation,4.290640271815888,0.3575670364689529
network_ports_src_has_22,3.8973256258407374,0.3247895619076447
network_ports_dst_has_80,3.8900106048863523,0.3241799535045471
network_ports_src_has_8000,3.6017889155992266,0.3001605604173573
network_ports_dst_has_9595,3.590376262902393,0.29920946963730244
network_ports_dst_has_6668,3.4992055520467877,0.29161161970624544
network_protocols_src_has_http,3.4036486179212817,0.2836482371841177
network_protocols_src_has_icmp,3.281003404887074,0.2734274117166904
network_ports_dst_has_443,3.2599841003925816,0.27167573598985223
network_ip-flags_min,2.7622927509918997,0.23019987001003644
network_header-length_std_deviation,2.574154648584245,0.21452109494080265
network_protocols_dst_has_lbtrm,2.5012518800549053,0.2084456317833225
network_ports_dst_has_557,2.3901709595947014,0.19918853423587682
network_protocols_dst_has_telnet,2.3856685049024375,0.19881331532234456
network_mss_min,2.2779343441148274,0.18983512508525155
network_packet-size_std_deviation,2.2390116140372975,0.18659144014234835
network_protocols_dst_has_udp,2.1405965969924794,0.1783898749307619
network_packet-size_min,2.061796079414325,0.1718229138812131
network_payload-length_min,1.7590686525133807,0.1465946630754119
network_protocols_src_has_data,1.7001082376487022,0.14168110717779278
network_protocols_dst_has_http,1.538105858583978,0.12818039238620352
network_window-size_min,1.4110868398747831,0.1175950691668744
network_protocols_dst_has_dns,1.3612574525281391,0.11344246134289983
network_protocols_dst_has_data,1.1655507150948115,0.09713294255599247
network_interval-packets,1.1637880554252462,0.09698604863004631
network_ports_src_has_557,1.1100652360666456,0.09250897572440236
network_protocols_src_has_arp,0.9438800224052437,0.07865967804633846
network_protocols_src_has_ssh,0.9362876843927844,0.07802695900419031
network_protocols_dst_has_arp,0.9078083041921713,0.07565358651577704
network_protocols_dst_has_ssh,0.8620857768431728,0.07184323011945001
network_protocols_src_has_mqtt,0.8534007263485308,0.07111944821972947
network_ip-flags_std_deviation,0.4981151210065031,0.04151118163147468
network_macs_dst_count,0.0,0.0
device_type_control,0.0,0.0
network_header-length_min,0.0,0.0
network_header-length_avg,0.0,0.0
network_mss_max,0.0,0.0
network_mss_avg,0.0,0.0
network_fragmentation-score,0.0,0.0
network_ip-length_max,0.0,0.0
network_packets_all_count,0.0,0.0
network_header-length_max,0.0,0.0
network_ip-length_avg,0.0,0.0
network_ttl_avg,0.0,0.0
network_macs_src_count,0.0,0.0
network_ttl_max,0.0,0.0
network_packet-size_avg,0.0,0.0
network_tcp-flags_avg,0.0,0.0
network_window-size_max,0.0,0.0
network_ports_all_count,0.0,0.0
network_packet-size_max,0.0,0.0
network_ips_all_count,0.0,0.0
network_ip-length_min,0.0,0.0
network_window-size_avg,0.0,0.0
network_protocols_all_count,0.0,0.0
network_tcp-flags_max,0.0,0.0
network_ip-length_std_deviation,0.0,0.0
network_macs_all_count,0.0,0.0
network_payload-length_std_deviation,0.0,0.0
network_time-delta_avg,0.0,0.0
network_ports_dst_has_1883,0.0,0.0
network_protocols_dst_count,0.0,0.0
network_window-size_std_deviation,0.0,0.0
network_protocols_src_count,0.0,0.0
network_payload-length_avg,0.0,0.0
network_ips_dst_count,0.0,0.0
network_tcp-flags_min,0.0,0.0
network_ports_src_has_554,0.0,0.0
network_protocols_dst_has_tcp,0.0,0.0
network_packets_dst_count,0.0,0.0
network_ports_src_has_23,0.0,0.0
network_payload-length_max,0.0,0.0
network_ports_src_has_6668,0.0,0.0
network_ip-flags_avg,0.0,0.0
network_ports_src_has_443,0.0,0.0
network_tcp-flags-rst_count,0.0,0.0
network_ports_src_has_9595,0.0,0.0
network_ttl_min,0.0,0.0
network_tcp-flags_std_deviation,0.0,0.0
network_ip-flags_max,0.0,0.0
network_ports_dst_has_8000,0.0,0.0
network_tcp-flags-ack_count,0.0,0.0
network_ports_src_has_1883,0.0,0.0
network_ips_src_count,0.0,0.0
network_ttl_std_deviation,0.0,0.0
network_time-delta_max,0.0,0.0
network_ports_dst_count,0.0,0.0
network_protocols_src_has_tcp,0.0,0.0
network_ports_dst_has_22,0.0,0.0
network_packets_src_count,0.0,0.0
