feature,importance,importance_norm
network_packet-size_min,0.2917712463860487,1.0
network_ports_src_count,0.133418083190742,0.45726946998133505
network_packets_src_count,0.09460716206800843,0.32425114962435914
network_time-delta_min,0.07096656015391174,0.24322670939279054
network_tcp-flags-syn_count,0.0538646538917877,0.18461261882028718
network_interval-packets,0.049161733111789944,0.1684940984443101
network_window-size_min,0.0448046661261196,0.15356093748469513
network_time-delta_std_deviation,0.04158346374088664,0.14252077357159
network_mss_min,0.03345227245169327,0.11465239589589944
network_ip-flags_avg,0.03127256731388488,0.10718179978745228
network_protocols_src_has_tcp,0.03051708568827375,0.1045925054859448
network_packet-size_std_deviation,0.02058909641737975,0.07056588568065368
network_protocols_dst_has_icmp,0.014048373733452213,0.048148588688772004
network_protocols_dst_has_data,0.012606873200411747,0.043208072613609524
network_protocols_src_has_mqtt,0.012300844430807766,0.04215920719799874
network_ip-flags_min,0.009053559627254402,0.031029649903457062
network_payload-length_min,0.008070326264251214,0.027659772387486035
network_fragmented-packets,0.007371467680554609,0.02526454464536668
network_tcp-flags-psh_count,0.005990664028219695,0.020532057570516463
network_protocols_src_has_json,0.004705785594686041,0.016128339077181437
device_type_iot,0.003812140847654218,0.01306551243438942
device_type_infra,0.003683709687333154,0.012625334857222907
network_protocols_src_has_arp,0.0027494020783179834,0.009423142658410526
network_protocols_dst_has_arp,0.0023767203295297014,0.008145834652894524
network_ports_dst_has_23,0.002168862949905355,0.007433436216794601
network_protocols_src_has_tls,0.0018825485998177004,0.006452138869526783
network_protocols_src_has_data,0.0014444146999260054,0.004950503923251128
network_protocols_src_has_dns,0.001367796494339905,0.004687907089138402
network_tcp-flags-fin_count,0.0013578231234517828,0.00465372493098658
network_ports_src_has_80,0.0013162334878566453,0.004511183004356464
network_protocols_src_has_icmp,0.0012936027446991951,0.0044336196959847175
network_protocols_dst_has_tls,0.0011768036390941343,0.004033309154587086
network_ports_dst_has_80,0.0011655420163541657,0.003994711716081894
network_protocols_src_has_ssdp,0.0008072860554214662,0.0027668458267245738
network_protocols_src_has_telnet,0.0007926977769810899,0.002716846799674889
network_protocols_dst_has_mqtt,0.000465829265941715,0.001596556452054794
network_protocols_src_has_lldp,0.00031812645843590703,0.0010903283389857657
network_protocols_src_has_dhcpv6,0.00023517663918095212,0.000806030896100656
network_protocols_dst_has_nbns,0.00023214602529898282,0.0007956439442693594
network_ports_dst_has_443,0.0001985507869089679,0.0006805015551335761
network_protocols_dst_has_ssdp,0.00018256292670418338,0.0006257056819870129
network_protocols_src_has_ntp,0.00010756369459468452,0.0003686576245157644
network_ports_src_has_22,0.00010089416953592126,0.00034579887766742466
network_protocols_src_has_http,8.819842442051258e-05,0.00030228621056036274
network_protocols_dst_has_telnet,7.873198833361895e-05,0.000269841491609653
network_mss_std_deviation,7.519961735714653e-05,0.0002577348463516804
network_protocols_dst_has_ntp,6.939968998422675e-05,0.00023785650863074618
network_protocols_dst_has_dns,5.868329251302205e-05,0.00020112774387431225
network_protocols_dst_has_http,5.1603586378313195e-05,0.00017686316598187132
network_protocols_src_has_nbns,5.009356226661626e-05,0.0001716877961316874
network_ports_dst_has_6668,4.18204773675743e-05,0.00014333310045308833
network_protocols_src_has_mdns,2.999870418333681e-05,0.00010281583451045377
network_protocols_dst_has_data-text-lines,2.7459545472564035e-05,9.411326788600592e-05
network_protocols_src_has_data-text-lines,1.23598131329584e-05,4.2361313138460775e-05
network_tcp-flags-urg_count,1.2339797958037732e-05,4.22927142783312e-05
network_ports_dst_has_22,9.041809512741564e-06,3.098937823632612e-05
network_protocols_src_has_igmp,2.1500936713805765e-06,7.369107470363074e-06
network_header-length_std_deviation,0.0,0.0
network_protocols_src_has_xml,0.0,0.0
network_protocols_src_has_rtcp,0.0,0.0
network_protocols_dst_has_udp,0.0,0.0
network_protocols_dst_has_lbtrm,0.0,0.0
network_protocols_dst_has_ipdc,0.0,0.0
network_protocols_dst_has_snmp,0.0,0.0
network_protocols_dst_has_ssh,0.0,0.0
network_protocols_dst_has_rtsp,0.0,0.0
network_protocols_dst_has_rpc,0.0,0.0
network_protocols_dst_has_daytime,0.0,0.0
network_protocols_dst_has_discard,0.0,0.0
network_protocols_dst_has_nbss,0.0,0.0
network_protocols_dst_has_c1222,0.0,0.0
network_protocols_dst_has_ftp,0.0,0.0
network_protocols_dst_has_chargen,0.0,0.0
network_protocols_dst_has_time,0.0,0.0
network_protocols_dst_has_ncp,0.0,0.0
network_protocols_dst_has_rtcp,0.0,0.0
network_protocols_dst_has_hcrt,0.0,0.0
network_ports_src_has_8000,0.0,0.0
network_ports_dst_has_9595,0.0,0.0
network_ports_dst_has_557,0.0,0.0
network_ports_dst_has_554,0.0,0.0
