feature,importance,importance_norm
network_ports_src_count,0.11359436530258626,1.0
device_type_iot,0.10705164617617811,0.9424027846013311
network_time-delta_std_deviation,0.10359719007311449,0.9119923316368567
network_interval-packets,0.10153594625802546,0.8938466796971817
network_ip-flags_avg,0.0665467380895684,0.5858278085563924
network_window-size_min,0.059224886029509906,0.521371688390969
network_packet-size_min,0.05787841310407895,0.5095183458255671
network_ports_dst_has_23,0.04081012025938576,0.3592618361894806
network_packet-size_std_deviation,0.03502373793315074,0.30832284541452815
network_tcp-flags-syn_count,0.03371094210507508,0.2967659708760886
network_packets_src_count,0.03139729211605228,0.27639832338882253
network_mss_min,0.029920964498588134,0.2634018370443495
network_protocols_src_has_data-text-lines,0.023854319029738554,0.20999561876327902
network_protocols_dst_has_icmp,0.019249873105402358,0.16946151381827462
network_tcp-flags-psh_count,0.018367392690474275,0.16169281496972362
network_tcp-flags-fin_count,0.015582635285987807,0.13717788945322829
device_type_infra,0.014660881380073433,0.12906345610559647
network_protocols_src_has_telnet,0.012854754088168587,0.11316365960518215
network_time-delta_min,0.011334230517447396,0.09977810507815166
network_fragmented-packets,0.008827914168218308,0.07771436677077255
network_payload-length_min,0.00822426317265029,0.07240027399900481
network_protocols_dst_has_data,0.007932072683151057,0.06982804703404125
network_protocols_src_has_json,0.007766364184108355,0.06836927310100947
network_protocols_src_has_dns,0.007386315804197087,0.06502361085007902
network_ports_dst_has_22,0.006503171821721986,0.05724907044816179
network_ports_src_has_22,0.006463061119545331,0.056895965766694444
network_protocols_src_has_tcp,0.006016052711069504,0.05296083740636502
network_protocols_src_has_mqtt,0.00501323746615233,0.044132800538110764
network_ip-flags_min,0.004981623317108269,0.043854493168199865
network_protocols_dst_has_telnet,0.004676278028744331,0.0411664611733859
network_protocols_src_has_icmp,0.0036577730106690325,0.03220030325382481
network_protocols_dst_has_mqtt,0.003304590746150106,0.02909115022868893
network_ports_src_has_80,0.0027396149220634157,0.02411752479769383
network_protocols_src_has_arp,0.0026694440975955636,0.023499793237849863
network_protocols_src_has_data,0.002485365748124434,0.021879304853757994
network_ports_dst_has_80,0.0023288050322119807,0.020501061175073616
network_protocols_dst_has_arp,0.0016543350111632381,0.014563530565591998
network_ports_dst_has_443,0.001630000233294126,0.014349305345843725
network_protocols_src_has_lldp,0.0014424739868122572,0.012698464250140193
network_ports_src_has_8000,0.0009819934967352886,0.008644737739583382
network_ports_dst_has_554,0.0009519298889251603,0.008380080177299843
network_ports_dst_has_6668,0.0009441778335376922,0.008311836868163704
network_protocols_src_has_ntp,0.0009262445638574729,0.008153965748126633
network_ports_dst_has_9595,0.0007896634772175143,0.006951607811831628
network_protocols_dst_has_ntp,0.0006847643174394679,0.006028153910763367
network_protocols_dst_has_dns,0.0006371567838962935,0.005609052721929219
network_protocols_dst_has_ssh,0.0004649338676286839,0.004092930722313729
network_protocols_dst_has_http,0.00041980274342731216,0.00369562999281756
network_protocols_src_has_tls,0.00036465642283919805,0.0032101629501414693
network_protocols_dst_has_tls,0.00033560582121026125,0.002954423138122154
network_protocols_src_has_http,0.0002567473530241981,0.002260212047844882
network_protocols_dst_has_ipdc,0.00016866982162106706,0.00148484320654263
network_protocols_src_has_ssdp,4.551436314236908e-05,0.0004006744790653171
network_protocols_dst_has_rtcp,3.795776237410823e-05,0.0003341518065002475
network_protocols_dst_has_nbns,1.6836833362732706e-05,0.0001482189131290421
network_protocols_src_has_xml,1.5585650994197846e-05,0.00013720443749724442
network_mss_std_deviation,1.3340895254774657e-05,0.00011744328355757729
network_protocols_dst_has_rtsp,1.2166064868155113e-05,0.00010710095378188729
network_tcp-flags-urg_count,1.189940143057398e-05,0.00010475344792743044
network_protocols_src_has_dhcpv6,6.189888214550663e-06,5.449115542009842e-05
network_protocols_dst_has_nbss,4.357615421582579e-06,3.8361193444542856e-05
network_protocols_dst_has_udp,4.195721252720931e-06,3.693599802723141e-05
network_protocols_dst_has_daytime,2.4117833296467252e-06,2.1231540166823882e-05
network_protocols_dst_has_lbtrm,1.9452009836391574e-06,1.7124097471363484e-05
network_protocols_src_has_nbns,1.9244782238972487e-06,1.6941669763028583e-05
network_protocols_dst_has_ncp,1.617605861674489e-07,1.4240194549840582e-06
network_protocols_dst_has_snmp,8.088184435167662e-08,7.120233836971414e-07
network_header-length_std_deviation,0.0,0.0
network_protocols_src_has_igmp,0.0,0.0
network_protocols_dst_has_rpc,0.0,0.0
network_protocols_src_has_rtcp,0.0,0.0
network_protocols_src_has_mdns,0.0,0.0
network_protocols_dst_has_c1222,0.0,0.0
network_protocols_dst_has_time,0.0,0.0
network_protocols_dst_has_discard,0.0,0.0
network_protocols_dst_has_data-text-lines,0.0,0.0
network_protocols_dst_has_ssdp,0.0,0.0
network_protocols_dst_has_chargen,0.0,0.0
network_protocols_dst_has_ftp,0.0,0.0
network_protocols_dst_has_hcrt,0.0,0.0
network_ports_dst_has_557,0.0,0.0
