feature,importance,importance_norm
network_ports_src_count,0.08833416469503177,1.0
network_interval-packets,0.07697772713374211,0.8714377658916336
network_ports_dst_has_80,0.07345924567079759,0.8316062751531197
network_tcp-flags-syn_count,0.07096252209295309,0.803341745947865
network_window-size_min,0.06496463320647688,0.7354417560947483
network_time-delta_std_deviation,0.06287128412590534,0.711743687654313
network_ip-flags_avg,0.05986743367695313,0.6777381535631398
network_tcp-flags-psh_count,0.059637225382398705,0.6751320464544214
network_packet-size_std_deviation,0.05067182005112016,0.5736378469877592
network_packets_src_count,0.04018065784675792,0.45487109076628673
network_tcp-flags-fin_count,0.03744630987536698,0.423916499404823
network_ports_dst_has_554,0.0232304125560118,0.2629833274159931
network_ports_dst_has_443,0.02076509931252436,0.23507438355493115
network_ports_dst_has_23,0.020515584289714048,0.23224971176829293
network_protocols_dst_has_mqtt,0.018785546183228575,0.21266455904218382
network_fragmented-packets,0.01838118938159329,0.20808697795528158
device_type_iot,0.018299366494897582,0.20716068984265612
network_time-delta_min,0.014227801454673627,0.1610679345165512
device_type_infra,0.013834375199549862,0.15661409430102366
network_ports_dst_has_22,0.013653292189551126,0.1545641172550651
network_ports_dst_has_557,0.01305469273593561,0.1477875834452743
network_ports_src_has_80,0.013042685090804283,0.14765164911937917
network_protocols_dst_has_icmp,0.01250841148047488,0.14160332554973937
network_protocols_dst_has_data,0.009831707838881652,0.11130130536497417
network_protocols_src_has_lldp,0.00923455358193215,0.1045411321181773
network_protocols_dst_has_ipdc,0.009123298254587901,0.10328164970015308
network_protocols_src_has_dns,0.008956688349978457,0.10139551758824988
network_protocols_src_has_http,0.0073430752795704156,0.0831283717338804
network_mss_min,0.007242617524109528,0.08199112482824981
network_payload-length_min,0.00720425937402326,0.08155688570662911
network_ports_src_has_22,0.006344032816919846,0.07181856350622917
network_packet-size_min,0.006186623507691777,0.07003658809760313
network_protocols_dst_has_rtsp,0.006135283423590888,0.06945538506842254
network_ports_dst_has_9595,0.005244625304263109,0.059372557858783766
network_protocols_src_has_icmp,0.0036211052509280426,0.04099325853626039
network_ip-flags_min,0.00352767405444676,0.03993555683269136
network_protocols_dst_has_http,0.0033649659579508768,0.038093595717672915
network_protocols_src_has_mqtt,0.0033121908385346866,0.037496147158574716
network_protocols_src_has_tcp,0.0031528770324247115,0.03569261161080567
network_ports_dst_has_6668,0.003017657722926621,0.034161841382039405
network_protocols_src_has_data,0.002111950516215739,0.023908648748840463
network_protocols_src_has_arp,0.0017651348963409843,0.019982471135998207
network_protocols_src_has_telnet,0.0015513104123211752,0.017561839382044062
network_protocols_src_has_data-text-lines,0.0015302261673219987,0.01732315206245522
network_protocols_dst_has_arp,0.001093039132755738,0.01237391145916631
network_protocols_src_has_json,0.001053875227891784,0.011930550671195259
network_protocols_dst_has_telnet,0.0004819063177512168,0.005455491874689351
network_tcp-flags-urg_count,0.0004489970608902528,0.00508293775619419
network_mss_std_deviation,0.0004156209594853697,0.004705098654866724
network_protocols_src_has_ntp,0.00019573358239641605,0.0022158310215778243
network_protocols_dst_has_tls,0.00019007033823058376,0.0021517194268694316
network_ports_src_has_8000,0.0001328130538965679,0.001503529855691699
network_protocols_dst_has_ntp,0.0001274619248113423,0.0014429516059997474
network_protocols_dst_has_dns,0.00011634835520438513,0.0013171387945544127
network_protocols_src_has_tls,9.762289495823302e-05,0.0011051544472659022
network_protocols_dst_has_ssh,4.14075468947058e-05,0.0004687602700230742
network_protocols_dst_has_lbtrm,3.081579821969048e-05,0.000348854809756566
network_protocols_src_has_ssdp,2.2428331916471985e-05,0.00025390325469091613
network_protocols_dst_has_nbns,1.754030330234279e-05,0.0001985676025001153
network_protocols_dst_has_ssdp,1.63299748408482e-05,0.00018486589981607258
network_protocols_src_has_dhcpv6,1.371215462852435e-05,0.00015523047821717353
network_protocols_dst_has_rtcp,9.091946559347503e-06,0.00010292672818876914
network_protocols_src_has_mdns,8.115083039599092e-06,9.186799997052004e-05
network_protocols_dst_has_hcrt,4.432985598779982e-06,5.018427031131827e-05
network_protocols_src_has_nbns,4.171160849663658e-06,4.72202444440872e-05
network_protocols_dst_has_udp,3.2707891423597174e-06,3.702745312249133e-05
network_protocols_src_has_rtcp,1.8568453125291444e-06,2.1020692491289045e-05
network_header-length_std_deviation,0.0,0.0
network_protocols_dst_has_rpc,0.0,0.0
network_protocols_src_has_xml,0.0,0.0
network_protocols_dst_has_daytime,0.0,0.0
network_protocols_dst_has_snmp,0.0,0.0
network_protocols_src_has_igmp,0.0,0.0
network_protocols_dst_has_time,0.0,0.0
network_protocols_dst_has_ncp,0.0,0.0
network_protocols_dst_has_discard,0.0,0.0
network_protocols_dst_has_data-text-lines,0.0,0.0
network_protocols_dst_has_chargen,0.0,0.0
network_protocols_dst_has_c1222,0.0,0.0
network_protocols_dst_has_nbss,0.0,0.0
network_protocols_dst_has_ftp,0.0,0.0
