feature,importance,importance_norm
network_ports_dst_has_80,0.0445479052665908,1.0
network_packets_dst_count,0.0387546206167805,0.8699538257715781
network_time-delta_avg,0.0381611099210815,0.8566308492556856
network_ports_dst_has_1883,0.034441947731461,0.7731440462878763
network_window-size_min,0.0317846527672468,0.7134937675977339
network_ports_dst_has_554,0.030592225192033,0.6867264579323775
network_ports_src_count,0.0302516840437771,0.679082077209693
network_tcp-flags-psh_count,0.0270157405808437,0.6064424448056923
network_tcp-flags-fin_count,0.0255557132972402,0.5736681252307051
network_tcp-flags-syn_count,0.0254413872274823,0.5711017628153743
network_interval-packets,0.0238484450068803,0.5353438026807898
network_window-size_std_deviation,0.0238327366189707,0.5349911848008784
network_tcp-flags-ack_count,0.0237115019888519,0.5322697407869952
network_ttl_avg,0.0229504128016385,0.515185005092718
network_payload-length_avg,0.0222399966656271,0.4992377651100519
network_ports_all_count,0.0218408938408878,0.4902788068301749
network_window-size_avg,0.0216479236198285,0.4859470605919512
network_packets_all_count,0.0215183928688929,0.4830393873767811
network_tcp-flags_avg,0.0211090180984835,0.47384984708393113
network_payload-length_std_deviation,0.0185910674771572,0.4173275346147371
network_time-delta_std_deviation,0.0182544024646565,0.40977016439752995
network_ports_dst_has_443,0.0169169165882379,0.37974662303425816
network_packets_src_count,0.016258388138618,0.36496414458372217
network_ports_src_has_1883,0.0159580134831276,0.35822141103221505
network_ports_dst_has_23,0.0156984597611114,0.3523950153697718
network_ports_dst_has_22,0.0155399550424569,0.3488369419271273
network_payload-length_max,0.0150062275542977,0.3368559635856052
network_ttl_std_deviation,0.0136956025781005,0.3074353888502962
network_packet-size_avg,0.0134571285522694,0.302082184824114
network_ip-length_avg,0.0133570679713614,0.29983605045911516
network_ports_dst_count,0.0112138393751525,0.25172540230668145
network_tcp-flags-rst_count,0.0107065919453972,0.24033884155326893
network_protocols_dst_has_mqtt,0.0102728818742205,0.23060302864397
network_tcp-flags_min,0.009936513674593,0.22305232120633517
network_ip-flags_std_deviation,0.0096837867316097,0.21737917133607995
network_time-delta_max,0.0095703302940437,0.21483233020209092
network_protocols_dst_has_icmp,0.0092760823223902,0.20822712688461475
network_ports_dst_has_557,0.008836323254187,0.19835552763496378
device_type_iot,0.0087606760272757,0.1966574180053729
network_macs_all_count,0.0083625932200172,0.187721356817395
network_macs_dst_count,0.0083338305148776,0.18707569895834472
device_type_infra,0.0081516238324444,0.1829855698862187
network_packet-size_max,0.0080647604376001,0.18103568258344926
network_ip-flags_avg,0.0078436269552199,0.17607173464792109
device_type_control,0.0076809461927358,0.17241991843994092
network_protocols_dst_has_data,0.0076018230866251,0.17064378316181283
network_fragmented-packets,0.0074120065163,0.16638282926983589
network_ports_src_has_443,0.0074019213331545,0.16615643965431645
