feature,importance,importance_norm
network_packet-size_min,0.1797445535587996,1.0
network_packets_all_count,0.1654092285279413,0.9202461229170497
network_packets_dst_count,0.134850877129358,0.7502362350314243
network_ports_all_count,0.1009815460501379,0.5618058742297521
network_ports_src_count,0.0376690157869107,0.20956972014502845
network_time-delta_avg,0.0287694980914866,0.16005769032704112
network_packets_src_count,0.027901138004447,0.15522661161090337
network_window-size_std_deviation,0.0234883466093125,0.13067626330957946
network_time-delta_min,0.0190404618938112,0.1059306750431385
network_window-size_min,0.0186690218841867,0.10386418678371542
network_time-delta_std_deviation,0.0170711499103132,0.09497450449717654
network_tcp-flags-rst_count,0.0166224191796341,0.09247801310539532
network_time-delta_max,0.0131322264791556,0.07306049735109038
network_ttl_std_deviation,0.0128068189410385,0.07125010848714826
network_tcp-flags-ack_count,0.0110466064167815,0.061457252517906416
network_window-size_avg,0.009321184728247,0.05185795365531215
network_tcp-flags-syn_count,0.0090012817372855,0.05007818906925001
network_ip-length_min,0.0086801652652687,0.04829167334090693
network_interval-packets,0.0085237729162146,0.04742159218430076
network_window-size_max,0.0078059699544271,0.04342813064359997
network_ip-flags_std_deviation,0.0070736364819215,0.03935382931982699
network_tcp-flags_avg,0.0065357830976246,0.036361508419706076
network_packet-size_max,0.005740245375171,0.03193557335406662
network_ttl_avg,0.0057210619017511,0.03182884704141857
network_ip-length_max,0.0053710491886132,0.02988156849412506
device_type_control,0.0052457689275587,0.02918457791180114
network_payload-length_avg,0.0052335214108983,0.02911643945409598
network_ip-length_avg,0.0050063056000369,0.027852335444473953
network_protocols_dst_has_data,0.004689363469043,0.026089043457491884
network_mss_avg,0.0045557471905703,0.025345675851479888
network_mss_min,0.0045481585145348,0.025303456624887206
network_ips_all_count,0.0045201646611075,0.025147714195572688
network_tcp-flags_std_deviation,0.0044517526855242,0.024767107527783334
network_ports_dst_count,0.0041360617370937,0.023010776433571748
network_ip-length_std_deviation,0.0039238516888164,0.021830156247448107
network_packet-size_avg,0.0038605035652654,0.02147772207185415
network_packet-size_std_deviation,0.0035400430554251,0.019694855756878613
network_protocols_src_has_tcp,0.0033392412240059,0.01857770462521157
network_ttl_max,0.0032955024926591,0.018334366340513608
network_ports_src_has_1883,0.003235753994705,0.01800195850522109
network_header-length_avg,0.0032171896936539,0.017898676927651472
network_ip-flags_avg,0.0030905869198137,0.017194328610366936
network_header-length_max,0.0030376359030871,0.016899738228192834
network_payload-length_std_deviation,0.0029930193079694,0.016651515991500113
network_ttl_min,0.0028580953614315,0.01590087323840127
network_macs_src_count,0.0028309590423727,0.01574990165944924
network_mss_max,0.0027836098059774,0.015486476507154926
network_ports_dst_has_1883,0.0026670959478638,0.014838257377246854
network_payload-length_max,0.0023460267364742,0.013052004581083161
network_protocols_dst_has_icmp,0.0021253783777126,0.011824438268819801
network_tcp-flags_min,0.0021033238231588,0.0117017388372257
network_macs_dst_count,0.0018157656075521,0.010101922821033412
network_tcp-flags_max,0.0017938149292724,0.009979801299990945
network_protocols_src_has_mqtt,0.0017443738950863,0.009704738533374618
network_protocols_dst_has_tcp,0.0017425784996042,0.00969474993874656
network_protocols_src_has_dns,0.0015279571116709,0.008500714382820292
device_type_iot,0.0013712685288568,0.007628985144232584
network_macs_all_count,0.0013220463398091,0.007355139911800559
network_ip-flags_min,0.0012831027521816,0.007138479173789599
network_payload-length_min,0.0012503442379765,0.0069562287881366975
network_protocols_dst_count,0.0012314842916681,0.0068513024026914185
network_ips_dst_count,0.001212520517564,0.006745798376401708
network_tcp-flags-psh_count,0.0010301691397745,0.005731295437764139
network_ips_src_count,0.0010021968422754,0.0055756729337979784
network_header-length_min,0.0008855115405248,0.0049264999856316865
network_protocols_src_count,0.0008748703554402,0.004867298274793094
network_protocols_all_count,0.0007904741918058,0.004397764361450948
network_ip-flags_max,0.0007657929772137,0.004260451635677446
device_type_infra,0.0006613531979097,0.0036794060505057386
network_ports_src_has_23,0.0004425042214365,0.0024618505132715704
network_fragmented-packets,0.0004383675506599,0.0024388363484766033
network_ports_dst_has_23,0.0003402185771497,0.001892789352520797
network_protocols_src_has_arp,0.000334429283947,0.0018605809039860483
network_protocols_src_has_telnet,0.0003194616890495,0.0017773094245383907
network_protocols_src_has_data,0.0002215200363438,0.0012324158477009677
network_protocols_dst_has_arp,0.0002136358256718,0.0011885524286660157
network_ports_dst_has_443,0.000172133057087,0.0009576538130302254
network_ports_src_has_443,0.0001515065805819,0.0008428994235552059
network_protocols_dst_has_mqtt,0.0001382785084734,0.0007693056937503541
network_protocols_dst_has_telnet,0.0001333015533102,0.0007416166480203988
network_protocols_src_has_icmp,5.403884343853558e-05,0.00030064245268415286
network_mss_std_deviation,4.02934877382208e-05,0.000224170841009876
network_protocols_src_has_http,2.51610972488534e-05,0.00013998252937673847
network_tcp-flags-fin_count,1.8544576928823285e-05,0.0001031718433835984
network_protocols_dst_has_dns,1.5877845315770585e-05,8.833561296518778e-05
network_ports_dst_has_80,1.5386603104923405e-05,8.560261104039521e-05
network_ports_src_has_80,7.995459726191342e-06,4.44823476866897e-05
network_fragmentation-score,0.0,0.0
network_header-length_std_deviation,0.0,0.0
network_protocols_src_has_ssh,0.0,0.0
network_tcp-flags-urg_count,0.0,0.0
network_ports_src_has_22,0.0,0.0
network_ports_src_has_9595,0.0,0.0
network_protocols_dst_has_http,0.0,0.0
network_protocols_dst_has_lbtrm,0.0,0.0
network_protocols_dst_has_ssh,0.0,0.0
network_protocols_dst_has_udp,0.0,0.0
network_ports_src_has_8000,0.0,0.0
network_ports_src_has_554,0.0,0.0
network_ports_dst_has_9595,0.0,0.0
network_ports_src_has_557,0.0,0.0
network_ports_src_has_6668,0.0,0.0
network_ports_dst_has_22,0.0,0.0
network_ports_dst_has_554,0.0,0.0
network_ports_dst_has_8000,0.0,0.0
network_ports_dst_has_6668,0.0,0.0
network_ports_dst_has_557,0.0,0.0
