feature,importance,importance_norm
network_packets_dst_count,0.07150209145155062,1.0
network_window-size_std_deviation,0.057493063627503754,0.804075271930482
device_type_iot,0.055473891291853004,0.7758359254350172
network_ip-length_min,0.045586153164541066,0.6375499267099056
network_ttl_min,0.04309809367121428,0.6027529096882053
network_packets_all_count,0.040195598628136736,0.5621597608144515
network_ips_all_count,0.038022323845230716,0.5317651983787692
device_type_control,0.035809660313928376,0.5008197604708218
network_time-delta_avg,0.03522639424260587,0.49266243165033935
network_time-delta_std_deviation,0.03452561234952279,0.48286157297814336
network_window-size_min,0.033798933720689026,0.4726985327917433
network_tcp-flags_std_deviation,0.032970594099340195,0.461113702131089
network_packet-size_min,0.030939410052689152,0.43270636459149603
network_macs_src_count,0.02905940683661998,0.40641338241568026
network_macs_all_count,0.028962447914680094,0.4050573532426653
network_ips_dst_count,0.025659108388407157,0.35885815180376385
network_ip-length_avg,0.025152844400809473,0.35177774370212495
network_macs_dst_count,0.024883584100146395,0.3480119755239238
network_window-size_avg,0.020828497192297936,0.29129913222763837
network_packets_src_count,0.019675313281880213,0.27517115768861233
network_ports_all_count,0.016608143128513574,0.2322749277867928
network_tcp-flags-rst_count,0.015740705192505193,0.22014328354536314
network_ports_dst_has_23,0.012475098535113789,0.17447179910208416
network_time-delta_max,0.012251624310070762,0.17134637688706475
network_payload-length_avg,0.012230770000548967,0.1710547167537954
network_ip-flags_avg,0.011483087606860672,0.16059792621089333
network_ports_src_has_23,0.011207185319049219,0.1567392658247366
network_ttl_std_deviation,0.011006106736109068,0.15392706021147282
network_interval-packets,0.009664077150028158,0.13515796466704025
network_ip-flags_std_deviation,0.007948961354481246,0.11117103280632587
network_tcp-flags_min,0.007869681579521271,0.11006225719780127
network_protocols_dst_has_icmp,0.007420665675546179,0.10378249817453769
device_type_infra,0.007200633222269482,0.10070521121957093
network_tcp-flags_avg,0.007161391544011337,0.10015639261214972
network_ips_src_count,0.0065938164372051685,0.09221851142176866
network_ip-length_std_deviation,0.006462434432207727,0.09038105460994289
network_time-delta_min,0.006437564532618978,0.09003323402058852
network_ttl_avg,0.006271024061013551,0.08770406478617145
