feature,vif
network_macs_dst_count,inf
device_type_control,inf
network_header-length_min,8248369.902384925
network_header-length_avg,695014.5927166272
network_mss_max,45932.387423212545
network_mss_avg,7074.410397436144
network_fragmentation-score,7073.366510347358
network_ip-length_max,1024.0682219368093
network_packets_all_count,912.8719697731204
network_header-length_max,790.9239306748188
network_ip-length_avg,611.5009300387097
network_ttl_avg,427.7770935288159
network_macs_src_count,310.80805713269973
network_ttl_max,257.19612763574594
network_packet-size_avg,235.614730891933
network_tcp-flags_avg,199.20372407102468
network_window-size_max,192.50369407226341
network_ports_all_count,187.7509233200593
network_packet-size_max,180.60998133707324
network_ips_all_count,150.41318612284675
network_ip-length_min,109.66223447941638
network_window-size_avg,108.12423186713424
network_protocols_all_count,86.56546047818979
network_tcp-flags_max,86.1265100282447
network_ip-length_std_deviation,79.17725022453877
network_macs_all_count,66.27130236121016
network_payload-length_std_deviation,57.14935567725071
network_time-delta_avg,48.44954538384363
network_ports_dst_has_1883,45.9636321050224
network_protocols_dst_count,41.524554503575764
network_window-size_std_deviation,37.706880223294846
network_protocols_src_count,31.919728329177794
network_payload-length_avg,31.507052848199084
network_ips_dst_count,30.802595107353813
network_tcp-flags_min,23.212308117698576
network_ports_src_has_554,22.14210972282697
network_protocols_dst_has_tcp,21.06572428562823
network_packets_dst_count,20.01048283344562
network_ports_src_has_23,19.365052207078516
network_payload-length_max,18.34765324856209
network_ports_src_has_6668,16.968275108778716
network_ip-flags_avg,16.757513350868862
network_ports_src_has_443,16.407233640286567
network_tcp-flags-rst_count,15.435814916669623
network_ports_src_has_9595,15.18516857066
network_ttl_min,14.934175242062249
network_tcp-flags_std_deviation,14.1895507094384
network_ip-flags_max,14.10102520289092
network_ports_dst_has_8000,12.407551721901578
network_tcp-flags-ack_count,11.466997705846428
network_ports_src_has_1883,10.971613219027633
network_ips_src_count,10.741748552363598
network_ttl_std_deviation,9.978899082251546
network_time-delta_max,9.191578166506773
network_ports_dst_count,9.158898706770923
network_protocols_src_has_tcp,7.585228939795812
network_ports_dst_has_22,6.552004587009453
network_packets_src_count,6.3782894921640265
network_protocols_src_has_telnet,5.903172964862516
network_ports_src_has_80,5.661157205750409
network_fragmented-packets,5.615246971544734
network_ports_dst_has_554,5.433102853022622
